Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.5,131541599,1,131541599.0,131541599.0,131541599,131541599,0.0,cudaStreamCreateWithFlags
2.8,3901056,8,487632.0,39435.5,18396,3330951,1154679.0,cudaMemcpyAsync
2.3,3173882,9,352653.6,773.0,405,2689568,884635.8,cudaStreamSynchronize
0.7,986116,42,23479.0,5679.0,3376,173183,41864.1,cudaLaunchKernel
0.2,318233,13,24479.5,1885.0,715,171263,54792.8,cudaFree
0.2,232978,13,17921.4,1505.0,1055,179416,49573.1,cudaMalloc
0.2,225340,7,32191.4,25055.0,21849,70026,17233.1,cuLibraryLoadData
0.1,204223,7,29174.7,8088.0,6353,132084,46194.2,cuLibraryUnload
0.0,59144,12,4928.7,3678.5,2678,13427,2941.4,cudaMemsetAsync
0.0,11277,1,11277.0,11277.0,11277,11277,0.0,cuModuleGetLoadingMode
0.0,9169,1,9169.0,9169.0,9169,9169,0.0,cudaStreamDestroy
0.0,5791,1,5791.0,5791.0,5791,5791,0.0,cuCtxSynchronize
0.0,3305,42,78.7,75.0,66,125,13.3,cuKernelGetName
0.0,3238,7,462.6,255.0,203,1611,514.5,cuLibraryGetKernel
0.0,511,1,511.0,511.0,511,511,0.0,cudaGetDeviceProperties
0.0,385,1,385.0,385.0,385,385,0.0,cuDeviceGetLuid
