Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
97.6,109129775,1,109129775.0,109129775.0,109129775,109129775,0.0,cudaStreamCreateWithFlags
1.3,1403357,5,280671.4,41918.0,538,932463,406255.0,cudaStreamSynchronize
0.4,432849,3,144283.0,53187.0,17962,361700,189110.6,cudaMemcpyAsync
0.3,379714,21,18081.6,5038.0,3800,269651,57661.8,cudaLaunchKernel
0.2,179888,3,59962.7,2112.0,1367,176409,100846.2,cudaMalloc
0.1,158877,3,52959.0,6520.0,1099,151258,85172.6,cudaFree
0.1,77143,1,77143.0,77143.0,77143,77143,0.0,cuLibraryLoadData
0.0,32301,1,32301.0,32301.0,32301,32301,0.0,cuLibraryUnload
0.0,10998,1,10998.0,10998.0,10998,10998,0.0,cuModuleGetLoadingMode
0.0,7962,1,7962.0,7962.0,7962,7962,0.0,cudaStreamDestroy
0.0,5236,1,5236.0,5236.0,5236,5236,0.0,cuCtxSynchronize
0.0,2193,21,104.4,81.0,70,484,89.4,cuKernelGetName
0.0,1375,1,1375.0,1375.0,1375,1375,0.0,cuLibraryGetKernel
0.0,580,1,580.0,580.0,580,580,0.0,cudaGetDeviceProperties
0.0,327,1,327.0,327.0,327,327,0.0,cuDeviceGetLuid
