Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
97.4,104535007,1,104535007.0,104535007.0,104535007,104535007,0.0,cudaStreamCreateWithFlags
1.2,1282467,5,256493.4,38125.0,826,952637,407469.5,cudaStreamSynchronize
0.4,467141,21,22244.8,5813.0,4257,304591,64967.8,cudaLaunchKernel
0.4,450494,3,150164.7,60235.0,15380,374879,195896.4,cudaMemcpyAsync
0.2,227351,3,75783.7,7786.0,1230,218335,123496.6,cudaFree
0.2,167371,3,55790.3,2219.0,1171,163981,93697.3,cudaMalloc
0.1,110993,1,110993.0,110993.0,110993,110993,0.0,cuLibraryUnload
0.1,96275,1,96275.0,96275.0,96275,96275,0.0,cuLibraryLoadData
0.0,11830,1,11830.0,11830.0,11830,11830,0.0,cuModuleGetLoadingMode
0.0,7664,1,7664.0,7664.0,7664,7664,0.0,cudaStreamDestroy
0.0,6023,1,6023.0,6023.0,6023,6023,0.0,cuCtxSynchronize
0.0,1870,21,89.0,77.0,68,170,29.1,cuKernelGetName
0.0,1701,1,1701.0,1701.0,1701,1701,0.0,cuLibraryGetKernel
0.0,1000,1,1000.0,1000.0,1000,1000,0.0,cudaGetDeviceProperties
0.0,440,1,440.0,440.0,440,440,0.0,cuDeviceGetLuid
