case_id,profile_set,kernel,concept,status,metric,value,unit
dense.combined,basic,dense_gemm_combined_scalar_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
dense.combined,basic,dense_gemm_combined_scalar_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
dense.combined,basic,dense_gemm_combined_scalar_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
dense.combined,basic,dense_gemm_combined_scalar_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
dense.combined,basic,dense_gemm_combined_scalar_kernel,duration_ns,collected,gpu__time_duration.sum,24000.0,ns
dense.combined,basic,dense_gemm_combined_scalar_kernel,grid_size,collected,launch__grid_size,256,
dense.combined,basic,dense_gemm_combined_scalar_kernel,block_size,collected,launch__block_size,256,
dense.combined,basic,dense_gemm_combined_scalar_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.6274509803921569,
dense.combined,basic,dense_gemm_combined_scalar_kernel,registers_per_thread,collected,launch__registers_per_thread,37,register/thread
dense.combined,basic,dense_gemm_combined_scalar_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,3072,byte/block
dense.combined,basic,dense_gemm_combined_scalar_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,100.0,%
dense.combined,basic,dense_gemm_combined_scalar_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,48.2471628649457,%
dense.combined,basic,dense_gemm_combined_scalar_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,67.96021782045631,%
dense.combined,basic,dense_gemm_combined_scalar_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,67.96021782045631,%
dense.combined,basic,dense_gemm_combined_scalar_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,0.5809757505773672,%
dense.combined,basic,dense_gemm_combined_scalar_kernel,dram_read_bytes,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,dram_write_bytes,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,76.44254423915442,%
dense.combined,basic,dense_gemm_combined_scalar_kernel,l1_hit_rate_pct,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,l2_hit_rate_pct,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,global_load_sectors,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,global_load_requests,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,global_store_sectors,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,global_store_requests,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,local_load_instructions,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,local_store_instructions,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,tensor_active_pct,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,eligible_warps_per_scheduler,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,issue_active_pct,collected,sm__issue_active.avg.pct_of_peak_sustained_elapsed,31.889499014422036,%
dense.combined,basic,dense_gemm_combined_scalar_kernel,stall_long_scoreboard,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,stall_short_scoreboard,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,stall_wait,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,stall_barrier,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,stall_math_pipe,not_collected,,,
dense.combined,basic,dense_gemm_combined_scalar_kernel,stall_memory_throttle,not_collected,,,
dense.combined,detailed,dense_gemm_combined_scalar_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
dense.combined,detailed,dense_gemm_combined_scalar_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
dense.combined,detailed,dense_gemm_combined_scalar_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
dense.combined,detailed,dense_gemm_combined_scalar_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
dense.combined,detailed,dense_gemm_combined_scalar_kernel,duration_ns,collected,gpu__time_duration.sum,24640.0,ns
dense.combined,detailed,dense_gemm_combined_scalar_kernel,grid_size,collected,launch__grid_size,256,
dense.combined,detailed,dense_gemm_combined_scalar_kernel,block_size,collected,launch__block_size,256,
dense.combined,detailed,dense_gemm_combined_scalar_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.6274509803921569,
