Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
97.6,109133521,1,109133521.0,109133521.0,109133521,109133521,0.0,cudaStreamCreateWithFlags
1.2,1357822,5,271564.4,42026.0,577,883637,387143.9,cudaStreamSynchronize
0.4,440442,3,146814.0,54861.0,15539,370042,194318.3,cudaMemcpyAsync
0.4,398770,21,18989.0,4860.0,3830,294492,63135.6,cudaLaunchKernel
0.2,169379,3,56459.7,6823.0,1180,161376,90904.0,cudaFree
0.1,146137,3,48712.3,1877.0,1060,143200,81829.7,cudaMalloc
0.1,111064,1,111064.0,111064.0,111064,111064,0.0,cuLibraryLoadData
0.1,85228,1,85228.0,85228.0,85228,85228,0.0,cuLibraryUnload
0.0,10411,1,10411.0,10411.0,10411,10411,0.0,cuModuleGetLoadingMode
0.0,8041,1,8041.0,8041.0,8041,8041,0.0,cudaStreamDestroy
0.0,5397,1,5397.0,5397.0,5397,5397,0.0,cuCtxSynchronize
0.0,1681,21,80.0,69.0,65,155,23.3,cuKernelGetName
0.0,1436,1,1436.0,1436.0,1436,1436,0.0,cuLibraryGetKernel
0.0,521,1,521.0,521.0,521,521,0.0,cuDeviceGetLuid
0.0,499,1,499.0,499.0,499,499,0.0,cudaGetDeviceProperties
