Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.9,105179543,1,105179543.0,105179543.0,105179543,105179543,0.0,cudaStreamCreateWithFlags
2.4,2658093,5,531618.6,67701.0,2710,1735374,762119.8,cudaStreamSynchronize
0.6,654498,21,31166.6,5175.0,3947,518327,111767.9,cudaLaunchKernel
0.4,480346,3,160115.3,71255.0,25332,383759,195037.4,cudaMemcpyAsync
0.2,210475,3,70158.3,12235.0,2059,196181,109257.4,cudaFree
0.2,168426,1,168426.0,168426.0,168426,168426,0.0,cuLibraryUnload
0.2,167744,3,55914.7,3176.0,1380,163188,92905.8,cudaMalloc
0.1,71103,1,71103.0,71103.0,71103,71103,0.0,cuLibraryLoadData
0.0,11381,1,11381.0,11381.0,11381,11381,0.0,cuModuleGetLoadingMode
0.0,9067,1,9067.0,9067.0,9067,9067,0.0,cudaStreamDestroy
0.0,5204,1,5204.0,5204.0,5204,5204,0.0,cuCtxSynchronize
0.0,2610,21,124.3,74.0,70,700,147.1,cuKernelGetName
0.0,1473,1,1473.0,1473.0,1473,1473,0.0,cuLibraryGetKernel
0.0,849,1,849.0,849.0,849,849,0.0,cudaGetDeviceProperties
0.0,479,1,479.0,479.0,479,479,0.0,cuDeviceGetLuid
