case_id,profile_set,kernel,concept,status,metric,value,unit
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,cc_major,collected,device__attribute_compute_capability_major,8,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,cc_minor,collected,device__attribute_compute_capability_minor,6,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,sm_count,collected,device__attribute_multiprocessor_count,68,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,duration_ns,collected,gpu__time_duration.sum,144640.0,ns
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,grid_size,collected,launch__grid_size,512,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,block_size,collected,launch__block_size,64,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,waves_per_sm,collected,launch__waves_per_multiprocessor,0.9411764705882353,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,registers_per_thread,collected,launch__registers_per_thread,126,register/thread
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,shared_mem_per_block,collected,launch__shared_mem_per_block,9472,byte/block
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,33.33333333333333,%
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,24.114178426719562,%
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,63.651243884345966,%
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,54.90827985899948,%
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,18.637717382977094,%
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,dram_read_bytes,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,dram_write_bytes,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,55.83881467887765,%
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,l1_hit_rate_pct,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,l2_hit_rate_pct,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,global_load_sectors,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,global_load_requests,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,global_store_sectors,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,global_store_requests,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,local_load_instructions,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,local_store_instructions,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,tensor_active_pct,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,eligible_warps_per_scheduler,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,issue_active_pct,collected,sm__issue_active.avg.pct_of_peak_sustained_elapsed,63.651243884345966,%
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,stall_long_scoreboard,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,stall_short_scoreboard,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,stall_wait,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,stall_barrier,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,stall_math_pipe,not_collected,,,
dense.cublas.m1024,basic,ampere_sgemm_64x64_nn,stall_memory_throttle,not_collected,,,
dense.cublas.m1024,detailed,ampere_sgemm_64x64_nn,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
dense.cublas.m1024,detailed,ampere_sgemm_64x64_nn,cc_major,collected,device__attribute_compute_capability_major,8,
dense.cublas.m1024,detailed,ampere_sgemm_64x64_nn,cc_minor,collected,device__attribute_compute_capability_minor,6,
dense.cublas.m1024,detailed,ampere_sgemm_64x64_nn,sm_count,collected,device__attribute_multiprocessor_count,68,
dense.cublas.m1024,detailed,ampere_sgemm_64x64_nn,duration_ns,collected,gpu__time_duration.sum,148896.0,ns
dense.cublas.m1024,detailed,ampere_sgemm_64x64_nn,grid_size,collected,launch__grid_size,512,
dense.cublas.m1024,detailed,ampere_sgemm_64x64_nn,block_size,collected,launch__block_size,64,
dense.cublas.m1024,detailed,ampere_sgemm_64x64_nn,waves_per_sm,collected,launch__waves_per_multiprocessor,0.9411764705882353,
dense.cublas.m1024,detailed,ampere_sgemm_64x64_nn,registers_per_thread,collected,launch__registers_per_thread,126,register/thread
