Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.2,146520085,1,146520085.0,146520085.0,146520085,146520085,0.0,cudaStreamCreateWithFlags
4.1,6390166,7,912880.9,2316.0,430,4206781,1549075.4,cudaStreamSynchronize
1.1,1790404,6,298400.7,78525.5,30961,1441200,560571.0,cudaMemcpyAsync
0.8,1234370,6,205728.3,7053.5,5024,1187116,480824.9,cudaLaunchKernel
0.4,671980,8,83997.5,1985.5,1210,649196,228401.0,cudaFree
0.1,208265,1,208265.0,208265.0,208265,208265,0.0,cuLibraryLoadData
0.1,144783,8,18097.9,1786.0,1048,132860,46373.6,cudaMalloc
0.1,103291,7,14755.9,7509.0,3011,54688,18230.9,cudaMemsetAsync
0.0,63689,1,63689.0,63689.0,63689,63689,0.0,cuLibraryUnload
0.0,10487,1,10487.0,10487.0,10487,10487,0.0,cuModuleGetLoadingMode
0.0,9820,1,9820.0,9820.0,9820,9820,0.0,cudaStreamDestroy
0.0,6186,1,6186.0,6186.0,6186,6186,0.0,cuCtxSynchronize
0.0,1905,1,1905.0,1905.0,1905,1905,0.0,cuLibraryGetKernel
0.0,777,6,129.5,100.5,77,290,81.2,cuKernelGetName
0.0,600,1,600.0,600.0,600,600,0.0,cudaGetDeviceProperties
0.0,560,1,560.0,560.0,560,560,0.0,cuDeviceGetLuid
