Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
97.4,136343225,1,136343225.0,136343225.0,136343225,136343225,0.0,cudaStreamCreateWithFlags
1.1,1580382,6,263397.0,38428.5,6671,1418752,566413.1,cudaMemcpyAsync
0.6,825692,7,117956.0,2259.0,460,743915,276635.0,cudaStreamSynchronize
0.3,406642,8,50830.3,1729.0,1194,389779,136969.3,cudaFree
0.2,268434,7,38347.7,22920.0,3619,89931,36917.5,cudaMemsetAsync
0.2,241874,6,40312.3,9485.0,4405,187188,72326.1,cudaLaunchKernel
0.1,114102,8,14262.8,1645.5,915,102053,35480.0,cudaMalloc
0.1,95119,1,95119.0,95119.0,95119,95119,0.0,cuLibraryLoadData
0.0,24937,1,24937.0,24937.0,24937,24937,0.0,cuLibraryUnload
0.0,10686,1,10686.0,10686.0,10686,10686,0.0,cuModuleGetLoadingMode
0.0,10645,1,10645.0,10645.0,10645,10645,0.0,cudaStreamDestroy
0.0,6006,1,6006.0,6006.0,6006,6006,0.0,cuCtxSynchronize
0.0,2712,1,2712.0,2712.0,2712,2712,0.0,cuLibraryGetKernel
0.0,781,6,130.2,110.0,90,211,47.9,cuKernelGetName
0.0,662,1,662.0,662.0,662,662,0.0,cudaGetDeviceProperties
0.0,552,1,552.0,552.0,552,552,0.0,cuDeviceGetLuid
