Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.2,164613271,1,164613271.0,164613271.0,164613271,164613271,0.0,cudaStreamCreateWithFlags
0.5,838808,9,93200.9,1058.0,389,710730,234066.8,cudaStreamSynchronize
0.5,832749,36,23131.9,4903.0,3632,183732,44173.4,cudaLaunchKernel
0.2,408464,6,68077.3,32310.0,27665,201884,69267.5,cuLibraryLoadData
0.2,288692,8,36086.5,38270.0,14458,59053,13462.4,cudaMemcpyAsync
0.1,243011,6,40501.8,13718.5,9251,172670,64960.1,cuLibraryUnload
0.1,184214,12,15351.2,1364.5,1018,164381,46944.8,cudaFree
0.1,172737,12,14394.8,1319.0,850,157305,45007.2,cudaMalloc
0.1,84451,12,7037.6,4087.5,2867,20906,6300.3,cudaMemsetAsync
0.0,11546,1,11546.0,11546.0,11546,11546,0.0,cuModuleGetLoadingMode
0.0,7792,1,7792.0,7792.0,7792,7792,0.0,cudaStreamDestroy
0.0,7187,1,7187.0,7187.0,7187,7187,0.0,cuCtxSynchronize
0.0,4339,6,723.2,363.0,202,1907,693.8,cuLibraryGetKernel
0.0,3127,36,86.9,72.0,64,217,36.1,cuKernelGetName
0.0,713,1,713.0,713.0,713,713,0.0,cudaGetDeviceProperties
0.0,550,1,550.0,550.0,550,550,0.0,cuDeviceGetLuid
