Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
97.3,110302355,1,110302355.0,110302355.0,110302355,110302355,0.0,cudaStreamCreateWithFlags
0.7,833646,36,23156.8,5314.0,3491,206989,43680.8,cudaLaunchKernel
0.7,740852,9,82316.9,817.0,365,629687,207751.8,cudaStreamSynchronize
0.3,358889,12,29907.4,1289.5,818,342592,98473.5,cudaMalloc
0.3,322718,12,26893.2,1485.0,744,300959,86320.5,cudaFree
0.3,308108,8,38513.5,38995.0,8931,71058,24046.5,cudaMemcpyAsync
0.2,263231,6,43871.8,34354.5,28163,78561,20166.7,cuLibraryLoadData
0.1,81764,12,6813.7,3981.0,2632,25072,6883.0,cudaMemsetAsync
0.1,81271,6,13545.2,10460.0,8157,29708,8212.8,cuLibraryUnload
0.0,21278,1,21278.0,21278.0,21278,21278,0.0,cuModuleGetLoadingMode
0.0,9112,1,9112.0,9112.0,9112,9112,0.0,cudaStreamDestroy
0.0,7863,1,7863.0,7863.0,7863,7863,0.0,cuCtxSynchronize
0.0,4662,6,777.0,484.0,249,1717,659.1,cuLibraryGetKernel
0.0,3665,36,101.8,81.5,63,382,59.2,cuKernelGetName
0.0,1120,1,1120.0,1120.0,1120,1120,0.0,cuDeviceGetLuid
0.0,670,1,670.0,670.0,670,670,0.0,cudaGetDeviceProperties
