Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.5,123392481,1,123392481.0,123392481.0,123392481,123392481,0.0,cudaStreamCreateWithFlags
3.0,3971796,42,94566.6,5454.0,3785,646478,206401.9,cudaLaunchKernel
2.0,2679060,9,297673.3,727.0,373,1560588,565740.9,cudaStreamSynchronize
0.6,775653,8,96956.6,35525.5,15753,296231,117531.4,cudaMemcpyAsync
0.3,405896,7,57985.1,38661.0,24824,177289,54915.3,cuLibraryLoadData
0.2,277323,13,21332.5,1545.0,611,255252,70296.9,cudaFree
0.2,228580,7,32654.3,12864.0,7447,129417,43810.9,cuLibraryUnload
0.1,145389,13,11183.8,1414.0,806,127590,34980.6,cudaMalloc
0.1,92591,12,7715.9,4684.5,3328,29602,7567.8,cudaMemsetAsync
0.0,10755,1,10755.0,10755.0,10755,10755,0.0,cuModuleGetLoadingMode
0.0,7505,1,7505.0,7505.0,7505,7505,0.0,cudaStreamDestroy
0.0,6584,1,6584.0,6584.0,6584,6584,0.0,cuCtxSynchronize
0.0,4850,42,115.5,80.0,67,623,99.6,cuKernelGetName
0.0,4488,7,641.1,322.0,260,1692,592.5,cuLibraryGetKernel
0.0,802,1,802.0,802.0,802,802,0.0,cuDeviceGetLuid
0.0,681,1,681.0,681.0,681,681,0.0,cudaGetDeviceProperties
