Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.6,118433180,1,118433180.0,118433180.0,118433180,118433180,0.0,cudaStreamCreateWithFlags
3.3,4113437,42,97939.0,5826.0,3749,675317,208604.2,cudaLaunchKernel
1.5,1922235,9,213581.7,688.0,390,954705,397131.2,cudaStreamSynchronize
0.5,611187,13,47014.4,1648.0,700,585803,161894.0,cudaFree
0.4,474849,13,36526.8,1324.0,1005,456864,126297.5,cudaMalloc
0.2,296583,8,37072.9,34508.5,16377,77890,19623.3,cudaMemcpyAsync
0.2,255054,7,36436.3,31883.0,23999,69099,14873.0,cuLibraryLoadData
0.2,249761,1,249761.0,249761.0,249761,249761,0.0,cuCtxSynchronize
0.1,77606,7,11086.6,9435.0,7489,23256,5458.0,cuLibraryUnload
0.1,65615,12,5467.9,4095.0,3598,15795,3546.4,cudaMemsetAsync
0.0,10922,1,10922.0,10922.0,10922,10922,0.0,cuModuleGetLoadingMode
0.0,8379,1,8379.0,8379.0,8379,8379,0.0,cudaStreamDestroy
0.0,4302,42,102.4,81.5,65,477,68.9,cuKernelGetName
0.0,3961,7,565.9,271.0,212,1338,525.2,cuLibraryGetKernel
0.0,562,1,562.0,562.0,562,562,0.0,cuDeviceGetLuid
0.0,487,1,487.0,487.0,487,487,0.0,cudaGetDeviceProperties
