case_id,cutlass_mop_us,candidate_mop_us,speedup,candidate_p95_us,p95_ratio,candidate_cv
grouped_gemm.many_empty.t16_e64_k64_n64,14.1312003136,12.1856000274,1.1596638887,21.4291199297,0.8538096539,0.3175977814
grouped_gemm.non_aligned.t512_e64_k127_n129,37.4783992767,51.2000024319,0.7319999511,53.0431985855,1.2327829565,0.0464514214
grouped_gemm.single_expert.t512_e64_k128_n256,20.6847995520,13.7216001749,1.5074626347,24.0742406994,0.7462233663,0.3449693439
grouped_gemm.single_hot.t512_e64_k128_n128,20.8895996213,14.8480005562,1.4068964735,28.2624006271,0.8228137253,0.2882026396
grouped_gemm.tail.t17_e8_k13_n11,10.2399997413,9.8303999752,1.0416666430,16.7935997248,0.6212121062,0.4992314133
grouped_gemm.uniform.t2048_e64_k128_n128,24.5759993792,52.6336014271,0.4669260456,60.1190388203,1.9589588804,0.0970260541
grouped_gemm.uniform.t512_e16_k128_n256,20.5823995173,22.7328002453,0.9054053744,27.1462394297,0.8255994836,0.1633109750
grouped_gemm.uniform.t512_e64_k128_n128,22.1184000373,26.4191985130,0.8372093509,29.4912010431,1.1832831010,0.0794646327
grouped_gemm.zipf14.t2048_e64_k128_n128,40.0383993983,59.5968008041,0.6718212867,62.1670392156,1.2911526472,0.2277057693
grouped_gemm.zipf14.t512_e64_k128_n128,21.7087998986,25.6000012159,0.8479999558,28.6435192823,0.9141237464,0.5035293658
