Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
87.2,118827452,1,118827452.0,118827452.0,118827452,118827452,0.0,cudaStreamCreateWithFlags
5.2,7147110,8,893388.8,102098.0,14245,4227223,1463894.9,cudaMemcpyAsync
5.1,6931161,9,770129.0,683.0,377,4753936,1616181.0,cudaStreamSynchronize
1.2,1680863,126,13340.2,6173.5,3177,330804,35044.1,cudaLaunchKernel
0.5,681907,12,56825.6,10452.0,558,217311,71995.5,cudaFree
0.3,407556,12,33963.0,2605.0,1405,215441,61211.5,cudaMalloc
0.2,281517,42,6702.8,5161.5,2393,43839,7563.8,cudaMemsetAsync
0.2,226961,6,37826.8,27465.0,25505,79671,21284.4,cuLibraryLoadData
0.1,77680,6,12946.7,9430.0,7863,31760,9258.9,cuLibraryUnload
0.0,16588,1,16588.0,16588.0,16588,16588,0.0,cudaStreamDestroy
0.0,9994,1,9994.0,9994.0,9994,9994,0.0,cuModuleGetLoadingMode
0.0,9448,126,75.0,71.0,64,191,14.5,cuKernelGetName
0.0,5543,1,5543.0,5543.0,5543,5543,0.0,cuCtxSynchronize
0.0,3999,6,666.5,272.5,214,1573,647.3,cuLibraryGetKernel
0.0,535,1,535.0,535.0,535,535,0.0,cudaGetDeviceProperties
0.0,344,1,344.0,344.0,344,344,0.0,cuDeviceGetLuid
