Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.3,94716652,1,94716652.0,94716652.0,94716652,94716652,0.0,cudaStreamCreateWithFlags
6.4,7228582,8,903572.8,92745.5,14696,4307369,1491622.7,cudaMemcpyAsync
6.4,7136440,9,792937.8,1041.0,361,4962190,1680112.5,cudaStreamSynchronize
1.4,1583734,126,12569.3,4734.0,3099,333705,37038.5,cudaLaunchKernel
0.6,689916,12,57493.0,11655.5,1166,228302,73394.3,cudaFree
0.3,328816,12,27401.3,2202.0,1377,189939,53271.9,cudaMalloc
0.3,321163,6,53527.2,45434.5,33712,104397,26116.9,cuLibraryLoadData
0.2,215756,42,5137.0,3960.5,2635,35916,5451.9,cudaMemsetAsync
0.1,73055,6,12175.8,9514.5,7600,28138,7899.5,cuLibraryUnload
0.0,23667,1,23667.0,23667.0,23667,23667,0.0,cudaStreamDestroy
0.0,10974,1,10974.0,10974.0,10974,10974,0.0,cuModuleGetLoadingMode
0.0,9434,126,74.9,68.0,64,194,19.9,cuKernelGetName
0.0,6026,1,6026.0,6026.0,6026,6026,0.0,cuCtxSynchronize
0.0,3935,6,655.8,242.0,209,1606,664.6,cuLibraryGetKernel
0.0,597,1,597.0,597.0,597,597,0.0,cudaGetDeviceProperties
0.0,572,1,572.0,572.0,572,572,0.0,cuDeviceGetLuid
