Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.9,95405735,1,95405735.0,95405735.0,95405735,95405735,0.0,cudaStreamCreateWithFlags
1.7,1675534,6,279255.7,24437.0,377,823752,413795.3,cudaStreamSynchronize
0.7,692547,21,32978.4,4234.0,3184,602853,130579.3,cudaLaunchKernel
0.2,214107,1,214107.0,214107.0,214107,214107,0.0,cuLibraryUnload
0.1,142857,3,47619.0,4775.0,2373,135709,76297.6,cudaFree
0.1,133562,3,44520.7,44825.0,35115,53622,9257.3,cudaMemcpyAsync
0.1,127199,3,42399.7,2177.0,1425,123597,70320.0,cudaMalloc
0.1,79936,1,79936.0,79936.0,79936,79936,0.0,cuLibraryLoadData
0.0,10509,1,10509.0,10509.0,10509,10509,0.0,cuModuleGetLoadingMode
0.0,6364,1,6364.0,6364.0,6364,6364,0.0,cuCtxSynchronize
0.0,5827,1,5827.0,5827.0,5827,5827,0.0,cudaStreamDestroy
0.0,1966,21,93.6,80.0,67,220,41.7,cuKernelGetName
0.0,1716,1,1716.0,1716.0,1716,1716,0.0,cuLibraryGetKernel
0.0,548,1,548.0,548.0,548,548,0.0,cudaGetDeviceProperties
0.0,465,1,465.0,465.0,465,465,0.0,cuDeviceGetLuid
