Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.4,119784189,1,119784189.0,119784189.0,119784189,119784189,0.0,cudaStreamCreateWithFlags
0.8,956828,6,159471.3,13850.5,409,787447,312422.2,cudaStreamSynchronize
0.3,311525,21,14834.5,5359.0,4128,168208,35478.8,cudaLaunchKernel
0.1,171168,3,57056.0,2633.0,1477,167058,95266.3,cudaMalloc
0.1,167884,3,55961.3,45709.0,35269,86906,27302.5,cudaMemcpyAsync
0.1,154253,3,51417.7,3977.0,2491,147785,83459.9,cudaFree
0.1,73449,1,73449.0,73449.0,73449,73449,0.0,cuLibraryLoadData
0.0,21580,1,21580.0,21580.0,21580,21580,0.0,cuLibraryUnload
0.0,11572,1,11572.0,11572.0,11572,11572,0.0,cuModuleGetLoadingMode
0.0,7516,1,7516.0,7516.0,7516,7516,0.0,cudaStreamDestroy
0.0,6291,1,6291.0,6291.0,6291,6291,0.0,cuCtxSynchronize
0.0,2019,21,96.1,80.0,70,330,55.7,cuKernelGetName
0.0,1335,1,1335.0,1335.0,1335,1335,0.0,cuLibraryGetKernel
0.0,701,1,701.0,701.0,701,701,0.0,cudaGetDeviceProperties
0.0,459,1,459.0,459.0,459,459,0.0,cuDeviceGetLuid
