Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.1,101976568,1,101976568.0,101976568.0,101976568,101976568,0.0,cudaStreamCreateWithFlags
0.8,866478,6,144413.0,6244.0,382,817639,330090.9,cudaStreamSynchronize
0.4,385589,21,18361.4,4621.0,3827,248415,53048.4,cudaLaunchKernel
0.2,239548,1,239548.0,239548.0,239548,239548,0.0,cuLibraryLoadData
0.1,147250,3,49083.3,3972.0,2507,140771,79407.2,cudaFree
0.1,124873,3,41624.3,44447.0,34959,45467,5794.8,cudaMemcpyAsync
0.1,120964,3,40321.3,2428.0,1346,117190,66572.4,cudaMalloc
0.0,45937,1,45937.0,45937.0,45937,45937,0.0,cuLibraryUnload
0.0,10543,1,10543.0,10543.0,10543,10543,0.0,cuModuleGetLoadingMode
0.0,5678,1,5678.0,5678.0,5678,5678,0.0,cudaStreamDestroy
0.0,5407,1,5407.0,5407.0,5407,5407,0.0,cuCtxSynchronize
0.0,1879,21,89.5,80.0,69,236,37.1,cuKernelGetName
0.0,1501,1,1501.0,1501.0,1501,1501,0.0,cuLibraryGetKernel
0.0,703,1,703.0,703.0,703,703,0.0,cudaGetDeviceProperties
0.0,411,1,411.0,411.0,411,411,0.0,cuDeviceGetLuid
