Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.2,105874616,1,105874616.0,105874616.0,105874616,105874616,0.0,cudaStreamCreateWithFlags
0.8,820187,6,136697.8,5757.5,475,758914,305393.6,cudaStreamSynchronize
0.4,390332,21,18587.2,5352.0,4216,248969,53107.1,cudaLaunchKernel
0.2,241551,1,241551.0,241551.0,241551,241551,0.0,cuLibraryLoadData
0.2,176404,3,58801.3,44989.0,35680,95735,32322.4,cudaMemcpyAsync
0.1,139322,3,46440.7,4330.0,2118,132874,74861.6,cudaFree
0.1,130716,3,43572.0,2708.0,1229,126779,72063.2,cudaMalloc
0.0,42054,1,42054.0,42054.0,42054,42054,0.0,cuLibraryUnload
0.0,10128,1,10128.0,10128.0,10128,10128,0.0,cuModuleGetLoadingMode
0.0,8186,1,8186.0,8186.0,8186,8186,0.0,cuCtxSynchronize
0.0,5932,1,5932.0,5932.0,5932,5932,0.0,cudaStreamDestroy
0.0,1842,21,87.7,74.0,65,244,41.0,cuKernelGetName
0.0,1600,1,1600.0,1600.0,1600,1600,0.0,cuLibraryGetKernel
0.0,720,1,720.0,720.0,720,720,0.0,cuDeviceGetLuid
0.0,415,1,415.0,415.0,415,415,0.0,cudaGetDeviceProperties
