Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.2,113352060,1,113352060.0,113352060.0,113352060,113352060,0.0,cudaStreamCreateWithFlags
0.8,899091,6,149848.5,6463.5,427,789745,315671.3,cudaStreamSynchronize
0.3,386842,21,18421.0,5183.0,3860,269274,57517.7,cudaLaunchKernel
0.2,248429,1,248429.0,248429.0,248429,248429,0.0,cuLibraryLoadData
0.1,170235,3,56745.0,46201.0,35597,88437,27953.5,cudaMemcpyAsync
0.1,158078,3,52692.7,4714.0,2398,150966,85115.1,cudaFree
0.1,154034,3,51344.7,2493.0,1296,150245,85652.3,cudaMalloc
0.0,43977,1,43977.0,43977.0,43977,43977,0.0,cuLibraryUnload
0.0,12920,1,12920.0,12920.0,12920,12920,0.0,cuModuleGetLoadingMode
0.0,7967,1,7967.0,7967.0,7967,7967,0.0,cuCtxSynchronize
0.0,6121,1,6121.0,6121.0,6121,6121,0.0,cudaStreamDestroy
0.0,1968,21,93.7,73.0,64,392,74.1,cuKernelGetName
0.0,1879,1,1879.0,1879.0,1879,1879,0.0,cuLibraryGetKernel
0.0,881,1,881.0,881.0,881,881,0.0,cudaGetDeviceProperties
0.0,398,1,398.0,398.0,398,398,0.0,cuDeviceGetLuid
