Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.2,99672636,1,99672636.0,99672636.0,99672636,99672636,0.0,cudaStreamCreateWithFlags
0.8,827895,6,137982.5,5129.0,391,778692,314218.4,cudaStreamSynchronize
0.3,344384,21,16399.2,4803.0,3516,211344,45039.4,cudaLaunchKernel
0.2,164708,3,54902.7,50440.0,35207,79061,22265.0,cudaMemcpyAsync
0.1,152085,3,50695.0,4536.0,2083,145466,82083.3,cudaFree
0.1,137444,3,45814.7,2530.0,1354,133560,75992.0,cudaMalloc
0.1,137267,1,137267.0,137267.0,137267,137267,0.0,cuLibraryLoadData
0.0,31840,1,31840.0,31840.0,31840,31840,0.0,cuLibraryUnload
0.0,10030,1,10030.0,10030.0,10030,10030,0.0,cuModuleGetLoadingMode
0.0,5626,1,5626.0,5626.0,5626,5626,0.0,cudaStreamDestroy
0.0,5428,1,5428.0,5428.0,5428,5428,0.0,cuCtxSynchronize
0.0,1661,21,79.1,72.0,64,137,20.4,cuKernelGetName
0.0,1515,1,1515.0,1515.0,1515,1515,0.0,cuLibraryGetKernel
0.0,648,1,648.0,648.0,648,648,0.0,cudaGetDeviceProperties
0.0,547,1,547.0,547.0,547,547,0.0,cuDeviceGetLuid
