Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.8,102928062,1,102928062.0,102928062.0,102928062,102928062,0.0,cudaStreamCreateWithFlags
2.7,3002022,2,1501011.0,1501011.0,46413,2955609,2057112.2,cudaMemcpyAsync
2.4,2604318,5,520863.6,15639.0,611,2551209,1135089.0,cudaStreamSynchronize
0.4,395855,21,18850.2,4510.0,4125,176804,39430.0,cudaLaunchKernel
0.3,338712,2,169356.0,169356.0,158508,180204,15341.4,cudaFree
0.2,182834,2,91417.0,91417.0,39495,143339,73428.8,cudaMalloc
0.2,170890,22,7767.7,3638.5,3135,24822,8019.5,cudaMemsetAsync
0.1,85952,1,85952.0,85952.0,85952,85952,0.0,cuLibraryLoadData
0.0,33743,1,33743.0,33743.0,33743,33743,0.0,cuLibraryUnload
0.0,10404,1,10404.0,10404.0,10404,10404,0.0,cuModuleGetLoadingMode
0.0,7013,1,7013.0,7013.0,7013,7013,0.0,cudaStreamDestroy
0.0,5777,1,5777.0,5777.0,5777,5777,0.0,cuCtxSynchronize
0.0,2087,21,99.4,83.0,73,366,62.3,cuKernelGetName
0.0,1318,1,1318.0,1318.0,1318,1318,0.0,cuLibraryGetKernel
0.0,898,1,898.0,898.0,898,898,0.0,cudaGetDeviceProperties
0.0,711,1,711.0,711.0,711,711,0.0,cuDeviceGetLuid
