Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.0,109901481,1,109901481.0,109901481.0,109901481,109901481,0.0,cudaStreamCreateWithFlags
0.3,288900,21,13757.1,5262.0,4052,168577,35536.5,cudaLaunchKernel
0.2,277525,5,55505.0,11505.0,454,190471,81445.4,cudaStreamSynchronize
0.1,146934,2,73467.0,73467.0,4039,142895,98186.0,cudaFree
0.1,134405,2,67202.5,67202.5,2710,131695,91206.2,cudaMalloc
0.1,124196,1,124196.0,124196.0,124196,124196,0.0,cuLibraryLoadData
0.1,73270,2,36635.0,36635.0,35106,38164,2162.3,cudaMemcpyAsync
0.0,30597,1,30597.0,30597.0,30597,30597,0.0,cudaMemsetAsync
0.0,22618,1,22618.0,22618.0,22618,22618,0.0,cuLibraryUnload
0.0,9884,1,9884.0,9884.0,9884,9884,0.0,cuModuleGetLoadingMode
0.0,5638,1,5638.0,5638.0,5638,5638,0.0,cuCtxSynchronize
0.0,5505,1,5505.0,5505.0,5505,5505,0.0,cudaStreamDestroy
0.0,1846,21,87.9,80.0,69,166,27.3,cuKernelGetName
0.0,1287,1,1287.0,1287.0,1287,1287,0.0,cuLibraryGetKernel
0.0,465,1,465.0,465.0,465,465,0.0,cudaGetDeviceProperties
0.0,462,1,462.0,462.0,462,462,0.0,cuDeviceGetLuid
