Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.4,96661433,1,96661433.0,96661433.0,96661433,96661433,0.0,cudaStreamCreateWithFlags
1.6,1570979,6,261829.8,36973.0,6071,1393682,555177.6,cudaMemcpyAsync
0.8,850873,7,121553.3,3409.0,488,709043,260989.5,cudaStreamSynchronize
0.4,436946,18,24274.8,5822.5,3488,139292,43530.8,cudaLaunchKernel
0.3,256900,3,85633.3,58999.0,30892,167009,71861.0,cuLibraryLoadData
0.2,165176,8,20647.0,1697.5,1157,148602,51739.3,cudaFree
0.1,121691,8,15211.4,1652.5,1032,110593,38542.0,cudaMalloc
0.1,95574,13,7351.8,4487.0,2409,27044,7618.1,cudaMemsetAsync
0.1,61525,3,20508.3,20737.0,6730,34058,13665.4,cuLibraryUnload
0.0,10557,1,10557.0,10557.0,10557,10557,0.0,cuModuleGetLoadingMode
0.0,8756,1,8756.0,8756.0,8756,8756,0.0,cudaStreamDestroy
0.0,7963,1,7963.0,7963.0,7963,7963,0.0,cuCtxSynchronize
0.0,3335,3,1111.7,1363.0,328,1644,693.1,cuLibraryGetKernel
0.0,2781,18,154.5,77.0,65,1306,288.5,cuKernelGetName
0.0,589,1,589.0,589.0,589,589,0.0,cudaGetDeviceProperties
0.0,501,1,501.0,501.0,501,501,0.0,cuDeviceGetLuid
