Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.6,89168999,1,89168999.0,89168999.0,89168999,89168999,0.0,cudaStreamCreateWithFlags
1.7,1572115,6,262019.2,34586.0,5740,1394179,555415.5,cudaMemcpyAsync
0.9,828014,19,43579.7,5473.0,3452,672176,152418.6,cudaLaunchKernel
0.7,628299,2,314149.5,314149.5,209706,418593,147705.4,cuLibraryUnload
0.5,510124,1,510124.0,510124.0,510124,510124,0.0,cuLibraryLoadData
0.2,215973,7,30853.3,813.0,427,188540,69778.2,cudaStreamSynchronize
0.2,178122,9,19791.3,1694.0,927,161202,53050.3,cudaFree
0.1,131027,9,14558.6,1656.0,985,114439,37479.3,cudaMalloc
0.0,21737,1,21737.0,21737.0,21737,21737,0.0,cudaMemsetAsync
0.0,12466,1,12466.0,12466.0,12466,12466,0.0,cuModuleGetLoadingMode
0.0,9398,1,9398.0,9398.0,9398,9398,0.0,cudaStreamDestroy
0.0,6582,1,6582.0,6582.0,6582,6582,0.0,cuCtxSynchronize
0.0,1873,4,468.3,408.5,260,796,235.0,cuLibraryGetKernel
0.0,1696,19,89.3,75.0,67,172,29.2,cuKernelGetName
0.0,600,1,600.0,600.0,600,600,0.0,cudaGetDeviceProperties
0.0,408,1,408.0,408.0,408,408,0.0,cuDeviceGetLuid
