case_id,profile_set,kernel,concept,status,metric,value,unit
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,duration_ns,collected,gpu__time_duration.sum,8864.0,ns
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,grid_size,collected,launch__grid_size,512,
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,block_size,collected,launch__block_size,128,
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.6274509803921569,
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,registers_per_thread,collected,launch__registers_per_thread,34,register/thread
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,1032,byte/block
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,100.0,%
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,41.75028973406774,%
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,2.150864238455912,%
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,10.904213659147869,%
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,10.904213659147869,%
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,dram_read_bytes,collected,dram__bytes_read.sum,535296.0,byte
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,dram_write_bytes,collected,dram__bytes_write.sum,177536.0,byte
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,8.104142262542682,%
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,l1_hit_rate_pct,collected,l1tex__t_sector_hit_rate.pct,4.258181014150943,%
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,l2_hit_rate_pct,collected,lts__t_sector_hit_rate.pct,69.6894095527353,%
permute.candidate.anchor.detailed,detailed,token_permute_token_owned_top2_kernel,global_load_sectors,not_collected,,,
