Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.9,114122743,1,114122743.0,114122743.0,114122743,114122743,0.0,cudaStreamCreateWithFlags
1.4,1644680,6,274113.3,49836.0,5603,1400395,553463.3,cudaMemcpyAsync
0.7,821314,7,117330.6,3782.0,573,749067,278972.4,cudaStreamSynchronize
0.4,445018,6,74169.7,27231.5,4379,332039,127258.7,cudaLaunchKernel
0.2,265982,1,265982.0,265982.0,265982,265982,0.0,cuLibraryLoadData
0.2,178444,8,22305.5,1751.5,1179,160559,55907.1,cudaFree
0.1,140619,8,17577.4,1479.0,963,129079,45056.7,cudaMalloc
0.1,105195,7,15027.9,4575.0,3336,77404,27537.7,cudaMemsetAsync
0.0,43595,1,43595.0,43595.0,43595,43595,0.0,cuLibraryUnload
0.0,10788,1,10788.0,10788.0,10788,10788,0.0,cudaStreamDestroy
0.0,10545,1,10545.0,10545.0,10545,10545,0.0,cuModuleGetLoadingMode
0.0,4996,1,4996.0,4996.0,4996,4996,0.0,cuCtxSynchronize
0.0,1836,1,1836.0,1836.0,1836,1836,0.0,cuLibraryGetKernel
0.0,791,6,131.8,100.0,68,239,74.5,cuKernelGetName
0.0,641,1,641.0,641.0,641,641,0.0,cudaGetDeviceProperties
0.0,512,1,512.0,512.0,512,512,0.0,cuDeviceGetLuid
