case_id,profile_set,kernel,concept,status,metric,value,unit
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,duration_ns,collected,gpu__time_duration.sum,15584.0,ns
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,grid_size,collected,launch__grid_size,512,
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,block_size,collected,launch__block_size,128,
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.6274509803921569,
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,registers_per_thread,collected,launch__registers_per_thread,34,register/thread
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,1056,byte/block
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,100.0,%
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,41.66647254800689,%
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,5.09929667228115,%
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,53.19056721194879,%
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,53.19056721194879,%
permute.v2.direct.large_uniform,basic,token_permute_token_tile4_top2_kernel,dram_read_bytes,not_collected,,,
