case_id,profile_set,kernel,concept,status,metric,value,unit
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,duration_ns,collected,gpu__time_duration.sum,17184.0,ns
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,grid_size,collected,launch__grid_size,512,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,block_size,collected,launch__block_size,128,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.6274509803921569,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,registers_per_thread,collected,launch__registers_per_thread,34,register/thread
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,1056,byte/block
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,100.0,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,41.70847148688701,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,3.517263726334943,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,48.55271668822769,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,48.55271668822769,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,dram_read_bytes,collected,dram__bytes_read.sum,2118784.0,byte
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,dram_write_bytes,collected,dram__bytes_write.sum,4030336.0,byte
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,16.10129476638821,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,l1_hit_rate_pct,collected,l1tex__t_sector_hit_rate.pct,1.4393939393939394,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,l2_hit_rate_pct,collected,lts__t_sector_hit_rate.pct,68.13336990467391,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,global_load_sectors,not_collected,,,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,global_load_requests,collected,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,5120.0,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,global_store_sectors,not_collected,,,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,global_store_requests,collected,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,9216.0,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,local_load_instructions,collected,smsp__sass_inst_executed_op_local_ld.sum,0.0,inst
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,local_store_instructions,collected,smsp__sass_inst_executed_op_local_st.sum,0.0,inst
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,tensor_active_pct,collected,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,0.0,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,eligible_warps_per_scheduler,not_collected,,,
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,issue_active_pct,collected,sm__issue_active.avg.pct_of_peak_sustained_elapsed,3.517263726334943,%
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,stall_long_scoreboard,collected,smsp__pcsamp_warps_issue_stalled_long_scoreboard,455,warp
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,stall_short_scoreboard,collected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,3,warp
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,stall_wait,collected,smsp__pcsamp_warps_issue_stalled_wait,17,warp
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,stall_barrier,collected,smsp__pcsamp_warps_issue_stalled_barrier,62,warp
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,stall_math_pipe,collected,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,0,warp
permute.v2.direct.large_uniform,detailed,token_permute_token_tile4_top2_kernel,stall_memory_throttle,collected,smsp__pcsamp_warps_issue_stalled_mio_throttle,0,warp
permute.v2.old.large_uniform,detailed,token_permute_token_owned_top2_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
permute.v2.old.large_uniform,detailed,token_permute_token_owned_top2_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
permute.v2.old.large_uniform,detailed,token_permute_token_owned_top2_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
