Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.3,161902678,1,161902678.0,161902678.0,161902678,161902678,0.0,cudaStreamCreateWithFlags
4.1,7286040,7,1040862.9,4035.0,394,6730066,2512315.1,cudaStreamSynchronize
3.8,6763439,6,1127239.8,245629.0,51822,5471575,2141783.1,cudaMemcpyAsync
0.8,1469417,8,183677.1,15584.0,2550,705721,264945.9,cudaFree
0.5,823008,21,39190.9,6052.0,4172,595348,129036.3,cudaLaunchKernel
0.2,359815,22,16355.2,4866.5,3400,150034,34281.2,cudaMemsetAsync
0.2,314671,1,314671.0,314671.0,314671,314671,0.0,cuLibraryLoadData
0.1,243911,8,30488.9,2203.0,1255,175306,59860.2,cudaMalloc
0.0,75171,1,75171.0,75171.0,75171,75171,0.0,cuLibraryUnload
0.0,27224,1,27224.0,27224.0,27224,27224,0.0,cudaStreamDestroy
0.0,15094,1,15094.0,15094.0,15094,15094,0.0,cuModuleGetLoadingMode
0.0,6396,1,6396.0,6396.0,6396,6396,0.0,cuCtxSynchronize
0.0,2040,21,97.1,85.0,67,223,39.8,cuKernelGetName
0.0,1649,1,1649.0,1649.0,1649,1649,0.0,cuLibraryGetKernel
0.0,888,1,888.0,888.0,888,888,0.0,cuDeviceGetLuid
0.0,493,1,493.0,493.0,493,493,0.0,cudaGetDeviceProperties
