Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.2,113151308,1,113151308.0,113151308.0,113151308,113151308,0.0,cudaStreamCreateWithFlags
5.0,6410303,6,1068383.8,259534.0,47477,5427092,2139064.5,cudaMemcpyAsync
4.2,5368252,7,766893.1,3246.0,529,4162552,1538561.9,cudaStreamSynchronize
1.3,1666503,8,208312.9,16761.0,2315,1052620,365998.3,cudaFree
0.5,588503,21,28024.0,6432.0,3746,460798,99174.5,cudaLaunchKernel
0.3,418720,22,19032.7,4646.0,2838,226123,47994.5,cudaMemsetAsync
0.3,338409,1,338409.0,338409.0,338409,338409,0.0,cuLibraryLoadData
0.2,222407,8,27800.9,2305.0,1335,139493,48176.0,cudaMalloc
0.1,93185,1,93185.0,93185.0,93185,93185,0.0,cuLibraryUnload
0.0,20978,1,20978.0,20978.0,20978,20978,0.0,cudaStreamDestroy
0.0,12953,1,12953.0,12953.0,12953,12953,0.0,cuModuleGetLoadingMode
0.0,10073,1,10073.0,10073.0,10073,10073,0.0,cuCtxSynchronize
0.0,3019,21,143.8,77.0,66,882,190.8,cuKernelGetName
0.0,1951,1,1951.0,1951.0,1951,1951,0.0,cuLibraryGetKernel
0.0,806,1,806.0,806.0,806,806,0.0,cuDeviceGetLuid
0.0,548,1,548.0,548.0,548,548,0.0,cudaGetDeviceProperties
