Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.3,141167685,1,141167685.0,141167685.0,141167685,141167685,0.0,cudaStreamCreateWithFlags
3.9,6094850,6,1015808.3,129711.0,49025,5434030,2165821.8,cudaMemcpyAsync
3.4,5296353,7,756621.9,2518.0,399,3550407,1326694.5,cudaStreamSynchronize
0.5,768999,8,96124.9,7887.5,1301,490235,169498.3,cudaFree
0.5,725128,42,17265.0,4606.5,3722,436551,66638.4,cudaLaunchKernel
0.2,283429,1,283429.0,283429.0,283429,283429,0.0,cuLibraryLoadData
0.1,184683,8,23085.4,3431.0,1375,111893,38087.3,cudaMalloc
0.1,79829,1,79829.0,79829.0,79829,79829,0.0,cuLibraryUnload
0.0,42079,1,42079.0,42079.0,42079,42079,0.0,cudaMemsetAsync
0.0,17021,1,17021.0,17021.0,17021,17021,0.0,cudaStreamDestroy
0.0,10429,1,10429.0,10429.0,10429,10429,0.0,cuModuleGetLoadingMode
0.0,5954,1,5954.0,5954.0,5954,5954,0.0,cuCtxSynchronize
0.0,3431,42,81.7,68.0,63,412,55.1,cuKernelGetName
0.0,2681,2,1340.5,1340.5,996,1685,487.2,cuLibraryGetKernel
0.0,472,1,472.0,472.0,472,472,0.0,cudaGetDeviceProperties
0.0,291,1,291.0,291.0,291,291,0.0,cuDeviceGetLuid
