Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
83.7,128739812,1,128739812.0,128739812.0,128739812,128739812,0.0,cudaStreamCreateWithFlags
5.9,9121720,9,1013524.4,6867.0,1535,5584993,1874919.1,cudaMalloc
3.9,5935829,6,989304.8,66310.0,8639,5541734,2231503.0,cudaMemcpyAsync
2.8,4343679,9,482631.0,3143.0,1592,2137533,875194.2,cudaFree
1.4,2167991,64,33874.9,6304.5,4311,1512873,188277.6,cudaLaunchKernel
1.4,2082142,7,297448.9,3312.0,631,1632631,597933.2,cudaStreamSynchronize
0.5,841940,2,420970.0,420970.0,290212,551728,184919.7,cuLibraryUnload
0.3,507128,1,507128.0,507128.0,507128,507128,0.0,cuLibraryLoadData
0.0,20650,1,20650.0,20650.0,20650,20650,0.0,cudaMemsetAsync
0.0,15475,1,15475.0,15475.0,15475,15475,0.0,cudaStreamDestroy
0.0,10649,1,10649.0,10649.0,10649,10649,0.0,cuModuleGetLoadingMode
0.0,8236,1,8236.0,8236.0,8236,8236,0.0,cuCtxSynchronize
0.0,6222,64,97.2,74.0,63,1050,124.1,cuKernelGetName
0.0,2510,4,627.5,568.0,416,958,232.9,cuLibraryGetKernel
0.0,690,1,690.0,690.0,690,690,0.0,cuDeviceGetLuid
0.0,402,1,402.0,402.0,402,402,0.0,cudaGetDeviceProperties
