Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.8,161671892,1,161671892.0,161671892.0,161671892,161671892,0.0,cudaStreamCreateWithFlags
3.3,5799430,6,966571.7,48730.5,6074,5428090,2187556.7,cudaMemcpyAsync
2.6,4481677,7,640239.6,1818.0,425,3182042,1174235.8,cudaStreamSynchronize
0.4,692063,8,86507.9,9996.0,1768,280774,117901.5,cudaFree
0.4,625215,21,29772.1,5105.0,3428,489951,105610.1,cudaLaunchKernel
0.2,393424,8,49178.0,3644.5,1349,160235,68851.4,cudaMalloc
0.2,337996,1,337996.0,337996.0,337996,337996,0.0,cuLibraryLoadData
0.1,180321,22,8196.4,4619.0,2755,37327,9975.3,cudaMemsetAsync
0.0,75521,1,75521.0,75521.0,75521,75521,0.0,cuLibraryUnload
0.0,15963,1,15963.0,15963.0,15963,15963,0.0,cudaStreamDestroy
0.0,11514,1,11514.0,11514.0,11514,11514,0.0,cuModuleGetLoadingMode
0.0,5794,1,5794.0,5794.0,5794,5794,0.0,cuCtxSynchronize
0.0,2152,21,102.5,78.0,66,446,81.6,cuKernelGetName
0.0,1657,1,1657.0,1657.0,1657,1657,0.0,cuLibraryGetKernel
0.0,672,1,672.0,672.0,672,672,0.0,cudaGetDeviceProperties
0.0,226,1,226.0,226.0,226,226,0.0,cuDeviceGetLuid
