T,E,variant,p50_us,p90_us,p95_us,cv,rows_per_second,effective_logical_gbps
32,64,cuda_local_pair_two_reduce_top2_v4,8.212479949,8.97023975849,9.479680061343,0.2163401660336026,3896508.7523771073,1.059850380646573
32,64,cuda_naive,9.45151984692,17.40697610377,19.71046388149,0.3304906783500281,3385698.863069938,0.9209100907550232
32,64,cuda_subwarp_pair_top2_v2,8.596479892729999,21.46406292919,21.5971839428,0.46536442770113,3722453.888022497,1.0125074575421191
32,64,cuda_vector_pair_top2_v3,8.2687997818,21.4630389214,21.587967872645,0.49323917186510213,3869969.1423697835,1.0526316067245811
32,64,cuda_warp_pair_top2_v1,8.26367974281,8.868864178656999,8.965631991626001,0.05564466444668113,3872366.911101839,1.0532837998197004
2048,8,cuda_local_pair_two_reduce_top2_v4,8.45311999321,82.36645984651999,82.766337871535,1.267341935670091,242277407.82634854,11.62931557566473
2048,8,cuda_naive,8.565760254859999,21.0636806488,21.140990853299996,0.4601921564065212,239091445.36680394,11.476389377606589
2048,8,cuda_subwarp_pair_top2_v2,9.052159786225,20.81804895405,20.89364778991,0.43559808212617707,226244349.234369,10.859728763249713
2048,8,cuda_vector_pair_top2_v3,8.97023975849,20.93465566639,21.168127059945,0.42798277013388425,228310508.43001643,10.958904404640789
2048,8,cuda_warp_pair_top2_v1,10.1990401745,22.6119685173,22.7123188972,0.39727112345497234,200803209.41577247,9.638554051957078
2048,33,cuda_local_pair_two_reduce_top2_v4,10.1888000965,22.540289163589993,24.173056483245,0.4272222013191956,201005023.22187257,29.74874343683714
2048,33,cuda_naive,10.4140794277,10.91788768769,11.0284805298,0.05274105333004237,196656844.6321434,29.105213005557225
2048,33,cuda_subwarp_pair_top2_v2,9.855999946595,10.8554244041,11.357695996779999,0.07885003197226928,207792208.91813543,30.753246919884045
2048,33,cuda_vector_pair_top2_v3,9.81504023075,10.6301438808,10.828800201434998,0.06237813319712597,208659358.68339333,30.881585085142216
2048,33,cuda_warp_pair_top2_v1,10.086400508899999,23.89606475829,24.2073607445,0.43341167492489313,203045675.03470576,30.050759905136452
2048,64,cuda_local_pair_two_reduce_top2_v4,8.39680016041,21.7815029621,21.930496096644998,0.4940380424000907,243902434.3649498,66.34146214726634
2048,64,cuda_naive,14.586880207050001,26.35059237479,30.380031824129993,0.33474671792542904,140400138.407264,38.188837646775816
2048,64,cuda_subwarp_pair_top2_v2,10.035200119,22.97344064716,23.226368427245,0.40377471058724435,204081630.23300838,55.510203423378286
2048,64,cuda_vector_pair_top2_v3,9.88160014153,10.363904118559999,10.627583861389999,0.05007754483214207,207253883.0419525,56.37305618741108
2048,64,cuda_warp_pair_top2_v1,9.661439955235,23.084031343489997,23.23302447799,0.46750791546055426,211976683.54708368,57.65765792480676
