case_id,profile_set,kernel,concept,status,metric,value,unit
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,duration_ns,collected,gpu__time_duration.sum,42816.0,ns
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,grid_size,collected,launch__grid_size,340,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,block_size,collected,launch__block_size,128,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,1.0,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,registers_per_thread,collected,launch__registers_per_thread,86,register/thread
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,7952,byte/block
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,41.66666666666667,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,36.24187491473067,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,53.12212872887277,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,54.71303714493809,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,29.995547279792746,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,dram_read_bytes,collected,dram__bytes_read.sum,6297472.0,byte
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,dram_write_bytes,collected,dram__bytes_write.sum,3187456.0,byte
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,64.84012128098459,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,l1_hit_rate_pct,collected,l1tex__t_sector_hit_rate.pct,9.670578581624541,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,l2_hit_rate_pct,collected,lts__t_sector_hit_rate.pct,86.7777984851107,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,global_load_sectors,not_collected,,,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,global_load_requests,collected,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,91056.0,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,global_store_sectors,not_collected,,,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,global_store_requests,collected,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,16720.0,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,local_load_instructions,collected,smsp__sass_inst_executed_op_local_ld.sum,0.0,inst
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,local_store_instructions,collected,smsp__sass_inst_executed_op_local_st.sum,0.0,inst
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,tensor_active_pct,collected,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,0.0,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,eligible_warps_per_scheduler,not_collected,,,
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,issue_active_pct,collected,sm__issue_active.avg.pct_of_peak_sustained_elapsed,35.08785594377887,%
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,stall_long_scoreboard,collected,smsp__pcsamp_warps_issue_stalled_long_scoreboard,564,warp
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,stall_short_scoreboard,collected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,142,warp
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,stall_wait,collected,smsp__pcsamp_warps_issue_stalled_wait,248,warp
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,stall_barrier,collected,smsp__pcsamp_warps_issue_stalled_barrier,321,warp
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,stall_math_pipe,collected,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,18,warp
v2.uniform.t2048,detailed,grouped_gemm_register16x32_sm86_v2_kernel,stall_memory_throttle,collected,smsp__pcsamp_warps_issue_stalled_mio_throttle,225,warp
