Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.3,108105719,1,108105719.0,108105719.0,108105719,108105719,0.0,cudaStreamCreateWithFlags
6.9,8370688,4,2092672.0,1443866.0,18716,5464240,2555886.3,cudaMemcpyAsync
2.8,3330526,5,666105.2,48741.0,954,2524758,1087075.3,cudaStreamSynchronize
0.5,620881,4,155220.3,120364.0,105276,274877,80523.4,cudaFree
0.2,299499,4,74874.8,38197.5,28917,194187,79881.1,cudaMalloc
0.2,223767,21,10655.6,6200.0,3773,89321,18178.0,cudaLaunchKernel
0.0,54061,1,54061.0,54061.0,54061,54061,0.0,cuLibraryUnload
0.0,19638,1,19638.0,19638.0,19638,19638,0.0,cudaStreamDestroy
0.0,11282,1,11282.0,11282.0,11282,11282,0.0,cuModuleGetLoadingMode
0.0,8915,1,8915.0,8915.0,8915,8915,0.0,cuCtxSynchronize
0.0,2501,21,119.1,80.0,70,642,128.7,cuKernelGetName
0.0,644,1,644.0,644.0,644,644,0.0,cudaGetDeviceProperties
0.0,510,1,510.0,510.0,510,510,0.0,cuDeviceGetLuid
