case_id,profile_set,kernel,concept,status,metric,value,unit
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,cc_major,collected,device__attribute_compute_capability_major,8,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,sm_count,collected,device__attribute_multiprocessor_count,68,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,duration_ns,collected,gpu__time_duration.sum,8928.0,ns
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,grid_size,collected,launch__grid_size,6,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,block_size,collected,launch__block_size,384,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,waves_per_sm,collected,launch__waves_per_multiprocessor,0.029411764705882356,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,registers_per_thread,collected,launch__registers_per_thread,54,register/thread
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,shared_mem_per_block,collected,launch__shared_mem_per_block,2060,byte/block
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,75.0,%
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,24.391014559563597,%
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,1.3554289124902603,%
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,0.9916614713216957,%
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,0.9916614713216957,%
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,dram_read_bytes,not_collected,,,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,dram_write_bytes,not_collected,,,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,20.32038723060966,%
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,l1_hit_rate_pct,not_collected,,,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,l2_hit_rate_pct,not_collected,,,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,global_load_sectors,not_collected,,,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,global_load_requests,not_collected,,,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,global_store_sectors,not_collected,,,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,global_store_requests,not_collected,,,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,local_load_instructions,not_collected,,,
crossover-cub_device_histogram,basic,DeviceHistogramSweepKernel,local_store_instructions,not_collected,,,
