Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.4,89706606,1,89706606.0,89706606.0,89706606,89706606,0.0,cudaStreamCreateWithFlags
0.5,439370,1,439370.0,439370.0,439370,439370,0.0,cuLibraryUnload
0.4,370262,42,8815.8,4327.0,3416,78157,14691.5,cudaLaunchKernel
0.2,169110,3,56370.0,4881.0,1593,162636,92043.7,cudaFree
0.2,147786,5,29557.2,9108.0,530,103827,43582.3,cudaStreamSynchronize
0.1,116886,2,58443.0,58443.0,41834,75052,23488.7,cudaMemcpyAsync
0.1,115116,3,38372.0,6299.0,2821,105996,58589.9,cudaMalloc
0.0,42961,1,42961.0,42961.0,42961,42961,0.0,cudaMemsetAsync
0.0,11066,1,11066.0,11066.0,11066,11066,0.0,cuModuleGetLoadingMode
0.0,7220,1,7220.0,7220.0,7220,7220,0.0,cudaStreamDestroy
0.0,6506,1,6506.0,6506.0,6506,6506,0.0,cuCtxSynchronize
0.0,3365,42,80.1,78.0,64,136,14.2,cuKernelGetName
0.0,884,1,884.0,884.0,884,884,0.0,cudaGetDeviceProperties
0.0,655,1,655.0,655.0,655,655,0.0,cuLibraryGetKernel
0.0,355,1,355.0,355.0,355,355,0.0,cuDeviceGetLuid

