Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.6,103536443,1,103536443.0,103536443.0,103536443,103536443,0.0,cudaStreamCreateWithFlags
0.3,348758,5,69751.6,10798.0,766,322409,141363.5,cudaStreamSynchronize
0.3,344955,21,16426.4,5741.0,4171,169806,36346.7,cudaLaunchKernel
0.2,234487,22,10658.5,3783.5,3038,65249,16078.0,cudaMemsetAsync
0.2,172372,2,86186.0,86186.0,5844,166528,113620.7,cudaFree
0.1,156297,2,78148.5,78148.5,2733,153564,106653.6,cudaMalloc
0.1,100963,1,100963.0,100963.0,100963,100963,0.0,cuLibraryLoadData
0.1,92880,2,46440.0,46440.0,43539,49341,4102.6,cudaMemcpyAsync
0.0,30290,1,30290.0,30290.0,30290,30290,0.0,cuLibraryUnload
0.0,11190,1,11190.0,11190.0,11190,11190,0.0,cuModuleGetLoadingMode
0.0,7097,1,7097.0,7097.0,7097,7097,0.0,cudaStreamDestroy
0.0,6763,1,6763.0,6763.0,6763,6763,0.0,cuCtxSynchronize
0.0,1786,21,85.0,74.0,65,190,29.3,cuKernelGetName
0.0,1294,1,1294.0,1294.0,1294,1294,0.0,cuLibraryGetKernel
0.0,852,1,852.0,852.0,852,852,0.0,cuDeviceGetLuid
0.0,534,1,534.0,534.0,534,534,0.0,cudaGetDeviceProperties

