Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.6,113466843,1,113466843.0,113466843.0,113466843,113466843,0.0,cudaStreamCreateWithFlags
0.3,393615,21,18743.6,6046.0,3399,185169,41161.2,cudaLaunchKernel
0.3,391650,5,78330.0,10754.0,610,363687,159653.9,cudaStreamSynchronize
0.2,194372,22,8835.1,5353.5,2408,43964,11326.4,cudaMemsetAsync
0.2,185966,2,92983.0,92983.0,5301,180665,124001.1,cudaFree
0.2,183506,2,91753.0,91753.0,2855,180651,125720.8,cudaMalloc
0.1,99448,1,99448.0,99448.0,99448,99448,0.0,cuLibraryLoadData
0.1,93301,2,46650.5,46650.5,45966,47335,968.0,cudaMemcpyAsync
0.0,31160,1,31160.0,31160.0,31160,31160,0.0,cuLibraryUnload
0.0,12240,1,12240.0,12240.0,12240,12240,0.0,cuModuleGetLoadingMode
0.0,7943,1,7943.0,7943.0,7943,7943,0.0,cudaStreamDestroy
0.0,6589,1,6589.0,6589.0,6589,6589,0.0,cuCtxSynchronize
0.0,2179,21,103.8,80.0,66,307,61.1,cuKernelGetName
0.0,1728,1,1728.0,1728.0,1728,1728,0.0,cuLibraryGetKernel
0.0,679,1,679.0,679.0,679,679,0.0,cudaGetDeviceProperties
0.0,403,1,403.0,403.0,403,403,0.0,cuDeviceGetLuid

