Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.5,108256832,1,108256832.0,108256832.0,108256832,108256832,0.0,cudaStreamCreateWithFlags
0.5,504112,5,100822.4,26588.0,986,310127,135463.4,cudaStreamSynchronize
0.4,395847,21,18849.9,5121.0,3957,161990,37296.2,cudaLaunchKernel
0.2,184318,2,92159.0,92159.0,4877,179441,123435.4,cudaFree
0.2,165846,22,7538.5,4771.5,2989,22599,6364.5,cudaMemsetAsync
0.1,140687,2,70343.5,70343.5,2943,137744,95318.7,cudaMalloc
0.1,101326,2,50663.0,50663.0,48256,53070,3404.0,cudaMemcpyAsync
0.1,66169,1,66169.0,66169.0,66169,66169,0.0,cuLibraryLoadData
0.0,52291,1,52291.0,52291.0,52291,52291,0.0,cuModuleGetLoadingMode
0.0,25965,1,25965.0,25965.0,25965,25965,0.0,cuLibraryUnload
0.0,7175,1,7175.0,7175.0,7175,7175,0.0,cudaStreamDestroy
0.0,6506,1,6506.0,6506.0,6506,6506,0.0,cuCtxSynchronize
0.0,1809,21,86.1,78.0,67,176,26.4,cuKernelGetName
0.0,1627,1,1627.0,1627.0,1627,1627,0.0,cuLibraryGetKernel
0.0,582,1,582.0,582.0,582,582,0.0,cudaGetDeviceProperties
0.0,401,1,401.0,401.0,401,401,0.0,cuDeviceGetLuid

