Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.7,105890309,1,105890309.0,105890309.0,105890309,105890309,0.0,cudaStreamCreateWithFlags
2.8,3125417,2,1562708.5,1562708.5,57047,3068370,2129326.9,cudaMemcpyAsync
0.4,480309,1,480309.0,480309.0,480309,480309,0.0,cuLibraryUnload
0.4,474985,42,11309.2,4462.0,3445,119115,23280.1,cudaLaunchKernel
0.3,334759,3,111586.3,135913.0,5334,193512,96418.8,cudaFree
0.2,230130,3,76710.0,43038.0,9051,178041,89385.4,cudaMalloc
0.1,67968,5,13593.6,12489.0,545,38126,15414.8,cudaStreamSynchronize
0.0,26890,1,26890.0,26890.0,26890,26890,0.0,cudaMemsetAsync
0.0,12023,1,12023.0,12023.0,12023,12023,0.0,cuModuleGetLoadingMode
0.0,7347,1,7347.0,7347.0,7347,7347,0.0,cudaStreamDestroy
0.0,7268,1,7268.0,7268.0,7268,7268,0.0,cuCtxSynchronize
0.0,3590,42,85.5,79.5,66,218,24.5,cuKernelGetName
0.0,1197,1,1197.0,1197.0,1197,1197,0.0,cuLibraryGetKernel
0.0,625,1,625.0,625.0,625,625,0.0,cuDeviceGetLuid
0.0,603,1,603.0,603.0,603,603,0.0,cudaGetDeviceProperties

