Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.4,98457659,1,98457659.0,98457659.0,98457659,98457659,0.0,cudaStreamCreateWithFlags
2.8,2921062,2,1460531.0,1460531.0,33761,2887301,2017757.5,cudaMemcpyAsync
2.5,2602166,5,520433.2,14841.0,553,2534150,1125896.7,cudaStreamSynchronize
0.4,447088,2,223544.0,223544.0,145321,301767,110624.0,cudaFree
0.4,397028,21,18906.1,4462.0,3698,176994,40885.3,cudaLaunchKernel
0.2,248565,2,124282.5,124282.5,81837,166728,60027.0,cudaMalloc
0.1,144007,22,6545.8,3480.0,2912,28201,7525.7,cudaMemsetAsync
0.1,96950,1,96950.0,96950.0,96950,96950,0.0,cuLibraryLoadData
0.0,29439,1,29439.0,29439.0,29439,29439,0.0,cuLibraryUnload
0.0,11168,1,11168.0,11168.0,11168,11168,0.0,cuModuleGetLoadingMode
0.0,5710,1,5710.0,5710.0,5710,5710,0.0,cudaStreamDestroy
0.0,5408,1,5408.0,5408.0,5408,5408,0.0,cuCtxSynchronize
0.0,1741,21,82.9,75.0,66,218,31.6,cuKernelGetName
0.0,1597,1,1597.0,1597.0,1597,1597,0.0,cuLibraryGetKernel
0.0,807,1,807.0,807.0,807,807,0.0,cudaGetDeviceProperties
0.0,687,1,687.0,687.0,687,687,0.0,cuDeviceGetLuid

