Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.0,108490871,1,108490871.0,108490871.0,108490871,108490871,0.0,cudaStreamCreateWithFlags
2.7,3134600,2,1567300.0,1567300.0,43577,3091023,2154869.7,cudaMemcpyAsync
2.1,2456567,5,491313.4,15228.0,588,2408142,1071617.2,cudaStreamSynchronize
0.4,409421,21,19496.2,5450.0,3568,177777,41350.9,cudaLaunchKernel
0.3,377612,2,188806.0,188806.0,161603,216009,38470.9,cudaFree
0.2,227188,2,113594.0,113594.0,44330,182858,97954.1,cudaMalloc
0.2,187964,22,8543.8,3602.0,2663,40734,11318.1,cudaMemsetAsync
0.1,95743,1,95743.0,95743.0,95743,95743,0.0,cuLibraryLoadData
0.0,23898,1,23898.0,23898.0,23898,23898,0.0,cuLibraryUnload
0.0,13931,1,13931.0,13931.0,13931,13931,0.0,cuModuleGetLoadingMode
0.0,6871,1,6871.0,6871.0,6871,6871,0.0,cudaStreamDestroy
0.0,5467,1,5467.0,5467.0,5467,5467,0.0,cuCtxSynchronize
0.0,1804,21,85.9,76.0,74,188,26.9,cuKernelGetName
0.0,1526,1,1526.0,1526.0,1526,1526,0.0,cuLibraryGetKernel
0.0,649,1,649.0,649.0,649,649,0.0,cudaGetDeviceProperties
0.0,372,1,372.0,372.0,372,372,0.0,cuDeviceGetLuid

