Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
87.3,97477346,1,97477346.0,97477346.0,97477346,97477346,0.0,cudaStreamCreateWithFlags
8.8,9836856,5,1967371.2,354780.0,738,6943402,2974478.5,cudaStreamSynchronize
2.8,3080820,2,1540410.0,1540410.0,65139,3015681,2086348.3,cudaMemcpyAsync
0.3,354727,21,16891.8,5661.0,4174,165468,36475.8,cudaLaunchKernel
0.3,337122,2,168561.0,168561.0,119653,217469,69166.4,cudaFree
0.2,236764,2,118382.0,118382.0,40396,196368,110288.9,cudaMalloc
0.2,181958,22,8270.8,4681.5,3209,40135,10080.7,cudaMemsetAsync
0.1,67251,1,67251.0,67251.0,67251,67251,0.0,cuLibraryLoadData
0.0,29945,1,29945.0,29945.0,29945,29945,0.0,cuLibraryUnload
0.0,11661,1,11661.0,11661.0,11661,11661,0.0,cuModuleGetLoadingMode
0.0,10077,1,10077.0,10077.0,10077,10077,0.0,cudaStreamDestroy
0.0,6366,1,6366.0,6366.0,6366,6366,0.0,cuCtxSynchronize
0.0,2666,21,127.0,76.0,72,865,171.8,cuKernelGetName
0.0,1753,1,1753.0,1753.0,1753,1753,0.0,cuLibraryGetKernel
0.0,614,1,614.0,614.0,614,614,0.0,cudaGetDeviceProperties
0.0,421,1,421.0,421.0,421,421,0.0,cuDeviceGetLuid

