Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.7,104059245,1,104059245.0,104059245.0,104059245,104059245,0.0,cudaStreamCreateWithFlags
0.5,476121,1,476121.0,476121.0,476121,476121,0.0,cuLibraryUnload
0.4,383423,42,9129.1,4798.0,3789,90068,14117.4,cudaLaunchKernel
0.2,178457,3,59485.7,4820.0,1424,172213,97639.5,cudaFree
0.1,148715,3,49571.7,7579.0,3345,137791,76429.5,cudaMalloc
0.1,90271,2,45135.5,45135.5,38434,51837,9477.4,cudaMemcpyAsync
0.1,54468,1,54468.0,54468.0,54468,54468,0.0,cudaMemsetAsync
0.0,51113,5,10222.6,11995.0,533,24723,10061.7,cudaStreamSynchronize
0.0,11160,1,11160.0,11160.0,11160,11160,0.0,cuModuleGetLoadingMode
0.0,7639,1,7639.0,7639.0,7639,7639,0.0,cudaStreamDestroy
0.0,7094,1,7094.0,7094.0,7094,7094,0.0,cuCtxSynchronize
0.0,3780,42,90.0,72.0,66,338,49.8,cuKernelGetName
0.0,813,1,813.0,813.0,813,813,0.0,cuLibraryGetKernel
0.0,735,1,735.0,735.0,735,735,0.0,cudaGetDeviceProperties
0.0,419,1,419.0,419.0,419,419,0.0,cuDeviceGetLuid

