Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.0,118218544,1,118218544.0,118218544.0,118218544,118218544,0.0,cudaStreamCreateWithFlags
1.1,1336591,2,668295.5,668295.5,6722,1329869,935606.2,cudaMalloc
0.3,365285,21,17394.5,5612.0,4045,178748,38010.2,cudaLaunchKernel
0.2,227630,5,45526.0,14906.0,561,191953,82230.9,cudaStreamSynchronize
0.2,191357,2,95678.5,95678.5,7060,184297,125325.5,cudaFree
0.1,100161,2,50080.5,50080.5,49441,50720,904.4,cudaMemcpyAsync
0.1,97765,1,97765.0,97765.0,97765,97765,0.0,cuLibraryLoadData
0.0,20979,1,20979.0,20979.0,20979,20979,0.0,cuLibraryUnload
0.0,18699,1,18699.0,18699.0,18699,18699,0.0,cudaMemsetAsync
0.0,11943,1,11943.0,11943.0,11943,11943,0.0,cuModuleGetLoadingMode
0.0,8474,1,8474.0,8474.0,8474,8474,0.0,cudaStreamDestroy
0.0,5691,1,5691.0,5691.0,5691,5691,0.0,cuCtxSynchronize
0.0,1898,21,90.4,83.0,70,199,29.7,cuKernelGetName
0.0,1624,1,1624.0,1624.0,1624,1624,0.0,cuLibraryGetKernel
0.0,1063,1,1063.0,1063.0,1063,1063,0.0,cudaGetDeviceProperties
0.0,409,1,409.0,409.0,409,409,0.0,cuDeviceGetLuid

