Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.9,103149770,1,103149770.0,103149770.0,103149770,103149770,0.0,cudaStreamCreateWithFlags
0.3,290248,21,13821.3,4888.0,4026,173337,36663.2,cudaLaunchKernel
0.3,262691,5,52538.2,11751.0,537,166913,72532.4,cudaStreamSynchronize
0.2,180214,2,90107.0,90107.0,4085,176129,121653.5,cudaMalloc
0.2,161630,2,80815.0,80815.0,4873,156757,107398.2,cudaFree
0.1,97615,1,97615.0,97615.0,97615,97615,0.0,cuLibraryLoadData
0.1,82067,2,41033.5,41033.5,37251,44816,5349.3,cudaMemcpyAsync
0.0,25322,1,25322.0,25322.0,25322,25322,0.0,cuLibraryUnload
0.0,18181,1,18181.0,18181.0,18181,18181,0.0,cudaMemsetAsync
0.0,14313,1,14313.0,14313.0,14313,14313,0.0,cuModuleGetLoadingMode
0.0,6834,1,6834.0,6834.0,6834,6834,0.0,cuCtxSynchronize
0.0,5868,1,5868.0,5868.0,5868,5868,0.0,cudaStreamDestroy
0.0,1864,21,88.8,75.0,66,247,40.2,cuKernelGetName
0.0,1427,1,1427.0,1427.0,1427,1427,0.0,cuLibraryGetKernel
0.0,584,1,584.0,584.0,584,584,0.0,cudaGetDeviceProperties
0.0,465,1,465.0,465.0,465,465,0.0,cuDeviceGetLuid

