Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.4,109760558,1,109760558.0,109760558.0,109760558,109760558,0.0,cudaStreamCreateWithFlags
0.5,524856,21,24993.1,6193.0,3893,193008,42608.0,cudaLaunchKernel
0.3,299100,22,13595.5,3856.0,3146,69287,20959.6,cudaMemsetAsync
0.2,265683,5,53136.6,34645.0,860,192141,79623.3,cudaStreamSynchronize
0.2,188859,2,94429.5,94429.5,10840,178019,118213.4,cudaFree
0.2,168243,2,84121.5,84121.5,3608,164635,113863.3,cudaMalloc
0.1,114065,2,57032.5,57032.5,43842,70223,18654.2,cudaMemcpyAsync
0.1,86888,1,86888.0,86888.0,86888,86888,0.0,cuLibraryLoadData
0.0,30502,1,30502.0,30502.0,30502,30502,0.0,cuModuleGetLoadingMode
0.0,25947,1,25947.0,25947.0,25947,25947,0.0,cudaStreamDestroy
0.0,24124,1,24124.0,24124.0,24124,24124,0.0,cuLibraryUnload
0.0,11287,1,11287.0,11287.0,11287,11287,0.0,cuCtxSynchronize
0.0,2323,21,110.6,93.0,85,208,40.0,cuKernelGetName
0.0,1502,1,1502.0,1502.0,1502,1502,0.0,cuLibraryGetKernel
0.0,807,1,807.0,807.0,807,807,0.0,cudaGetDeviceProperties
0.0,763,1,763.0,763.0,763,763,0.0,cuDeviceGetLuid

