Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.5,100387891,1,100387891.0,100387891.0,100387891,100387891,0.0,cudaStreamCreateWithFlags
3.5,3817524,8,477190.5,27520.0,13654,3253042,1128146.7,cudaMemcpyAsync
2.8,3032941,9,336993.4,910.0,359,2576350,847637.9,cudaStreamSynchronize
0.8,851276,42,20268.5,4947.0,3379,169274,36498.1,cudaLaunchKernel
0.5,511178,13,39321.4,2834.0,796,318415,93033.3,cudaFree
0.4,440879,7,62982.7,23873.0,17632,261762,89390.0,cuLibraryUnload
0.3,275090,7,39298.6,32569.0,24892,81789,20451.0,cuLibraryLoadData
0.2,270079,13,20775.3,1466.0,940,193589,53136.6,cudaMalloc
0.1,83928,12,6994.0,3527.5,2632,25136,8199.9,cudaMemsetAsync
0.0,13033,1,13033.0,13033.0,13033,13033,0.0,cudaStreamDestroy
0.0,10791,1,10791.0,10791.0,10791,10791,0.0,cuModuleGetLoadingMode
0.0,7269,1,7269.0,7269.0,7269,7269,0.0,cuCtxSynchronize
0.0,3437,42,81.8,74.0,64,212,27.8,cuKernelGetName
0.0,2822,7,403.1,225.0,195,1462,467.8,cuLibraryGetKernel
0.0,704,1,704.0,704.0,704,704,0.0,cudaGetDeviceProperties
0.0,653,1,653.0,653.0,653,653,0.0,cuDeviceGetLuid
