study_id,operator,candidate_variant,classification,measurement_level,paired_shapes,ratio_of_sums_p50_speedup,shape_geomean_p50_speedup,benefit_shapes,benefit_coverage_fraction,maximum_p50_regression_fraction,maximum_p95_regression_fraction,maximum_cv,process_direction_consistency_fraction,best_shape_case_id,best_shape_speedup,worst_shape_case_id,worst_shape_speedup,contract_note
dense_v3_vs_library_envelope,dense_gemm,cuda_register_tiled_v3_64x32_async,local_winner_only,L2_operator_steady,3,0.871553,0.937571,1,0.333333,0.174503,0.15256,0.299867,0.133333,dense_gemm.fp32.m256_n256_k256.candidate_v3,1.009524,dense_gemm.fp32.m1024_n1024_k1024.candidate_v3,0.851424,strict FP32; fastest cuBLASLt/cuBLAS per shape
topk_v4_vs_exact_naive,topk_gate,cuda_local_pair_two_reduce_top2_v4,local_winner_only,L2_operator_steady,30,1.097225,1.085923,21,0.7,0.108776,0.174583,0.178276,0.726667,topk_gate.v4_preflight.in_tree.e64_t4096,1.693444,topk_gate.v4_preflight.in_tree.e32_t32,0.901895,full tie/NaN/selected-softmax contract
topk_v4_vs_external_envelope,topk_gate,cuda_local_pair_two_reduce_top2_v4,local_winner_only,L1_kernel_body,30,1.014578,1.01444,18,0.6,0.141609,0.217248,0.167308,0.58,topk_gate.v4_preflight.library.e2_t32,1.096166,topk_gate.v4_preflight.library.e64_t4096,0.875956,limited random-input subdomain only; not full contract equivalence
histogram_v2_vs_reference_envelope,histogram,cuda_candidate_v2,matrix_winner_research_only,L2_operator_steady,15,1.101552,1.158815,9,0.6,0.055556,0.03798,0.450303,0.586667,histogram.v2.r1048576_e1.single_hot,4.302632,histogram.v2.r1048576_e64.zipf14,0.947368,fastest shipping-v1/CUB/naive reference per shape
histogram_v2_vs_shipping_v1,histogram,cuda_candidate_v2,matrix_winner_research_only,L2_operator_steady,15,1.106994,1.163843,10,0.666667,0.055556,0.03798,0.450303,0.613333,histogram.v2.r1048576_e1.single_hot,4.302632,histogram.v2.r1048576_e64.zipf14,0.947368,explicit research v2 versus current shipping candidate v1
scan_cub_block_vs_naive,exclusive_scan,cub_block_scan,library_reference_wins,L2_operator_steady,5,1.024946,1.024978,4,0.8,0.010071,0.181483,0.158138,0.52,exclusive_scan.e33.l2,1.076496,exclusive_scan.e31.l2,0.990029,tiny E<=64 metadata scan
scan_cub_warp_vs_naive,exclusive_scan,cub_warp_scan,library_reference_wins,L2_operator_steady,3,1.028983,1.029143,3,1.0,0.0,0.144761,0.137754,0.666667,exclusive_scan.e1.l2,1.046135,exclusive_scan.e31.l2,1.003567,warp-supported E<=32 subset
scan_cub_device_vs_naive,exclusive_scan,cub_device_scan,naive_reference_wins,L2_operator_steady,5,0.330958,0.330936,0,0.0,2.113826,2.237189,0.152063,0.0,exclusive_scan.e64.l2,0.338172,exclusive_scan.e1.l2,0.321148,device-wide primitive on tiny E<=64 metadata
permute_pure_v2_vs_token_owned,token_permute,cuda_candidate_v2,local_winner_only,L2_operator_steady,28,0.984116,0.994628,11,0.392857,0.086519,0.082646,0.156421,0.385714,permute.anchor.zipf14.t512_e64_top2_k256.cold_scrub,1.076923,permute.v2.t257_e64_k128.uniform,0.92037,pure-permute boundary; prepared routing metadata
permute_pure_v3_vs_token_owned,token_permute,cuda_candidate_v3,local_winner_only,L2_operator_steady,28,0.989246,0.994209,11,0.392857,0.098592,0.063526,0.157346,0.385714,permute.chain_skew.zipf14.t128_e16_top2_k64,1.123409,permute.v2.t257_e64_k128.uniform,0.910256,pure-permute boundary; prepared routing metadata
permute_full_v2_vs_vllm,token_permute,cuda_candidate_v2_from_ids,matrix_winner_research_only,L2_operator_steady,5,1.567106,1.588519,5,1.0,0.0,0.0,0.161907,1.0,permute.v3.full.anchor.uniform,1.850121,permute.v3.full.large.uniform,1.289557,full-from-ids preparation plus payload movement
permute_full_v3_vs_vllm,token_permute,cuda_candidate_v3_from_ids,matrix_winner_research_only,L2_operator_steady,5,1.508942,1.532874,5,1.0,0.0,0.0,0.159156,1.0,permute.v3.full.anchor.uniform,1.856882,permute.v3.full.large.uniform,1.20696,full-from-ids preparation plus payload movement
grouped_v1_vs_external_envelope,grouped_gemm,cuda_grouped_sm86_fp32_v1,local_winner_only,L2_operator_steady,10,0.850966,0.910413,4,0.4,0.934774,0.805361,0.212908,0.4,grouped_gemm.v3.single_hot.t512_e64_k128_n128,1.366071,grouped_gemm.v3.uniform.t2048_e64_k128_n128,0.516856,strict FP32; fastest CUTLASS/cuBLAS-per-expert per shape
grouped_v2_vs_external_envelope,grouped_gemm,cuda_grouped_sm86_fp32_v2,local_winner_only,L2_operator_steady,10,0.869669,0.947192,3,0.3,0.874263,0.752425,0.224102,0.48,grouped_gemm.v3.single_hot.t512_e64_k128_n128,1.641089,grouped_gemm.v3.uniform.t2048_e64_k128_n128,0.533543,strict FP32; fastest CUTLASS/cuBLAS-per-expert per shape
grouped_v2_vs_cutlass,grouped_gemm,cuda_grouped_sm86_fp32_v2,local_winner_only,L2_operator_steady,10,0.925912,1.034537,4,0.4,0.874263,0.752425,0.224102,0.54,grouped_gemm.v3.single_expert.t512_e64_k128_n256,1.871897,grouped_gemm.v3.uniform.t2048_e64_k128_n128,0.533543,strict FP32 CUTLASS Grouped promotion baseline
grouped_v3_vs_external_envelope,grouped_gemm,cuda_grouped_sm86_fp32_v3,local_winner_only,L2_operator_steady,10,0.830898,0.896614,2,0.2,1.030648,0.975179,0.212908,0.3,grouped_gemm.v3.single_hot.t512_e64_k128_n128,1.448653,grouped_gemm.v3.uniform.t2048_e64_k128_n128,0.492454,strict FP32; fastest CUTLASS/cuBLAS-per-expert per shape
grouped_v4a_queue1024_vs_external_envelope,grouped_gemm,cuda_grouped_sm86_fp32_v4a_desc_queue_t1024,local_winner_only,L2_operator_steady,10,0.779949,0.77672,2,0.2,1.266921,0.660333,0.240832,0.16,grouped_gemm.v3.tail.t17_e8_k13_n11,1.136145,grouped_gemm.v3.single_expert.t512_e64_k128_n256,0.441127,strict FP32 descriptor queue-1024 experiment
unpermute_vec4_vs_vllm,unpermute,cuda_warp_token_vec4,local_winner_only,L2_operator_steady,32,1.03692,1.045819,15,0.46875,0.080336,0.267028,0.252005,0.5375,unpermute.uniform.t4096_n64.warm,1.545353,unpermute.zipf.t64_n64.warm,0.925638,adapted vLLM reference under matched routing metadata
unpermute_vec4_vs_reference_envelope,unpermute,cuda_warp_token_vec4,local_winner_only,L2_operator_steady,32,1.015376,1.017228,12,0.375,0.080336,0.267028,0.252005,0.45,unpermute.zipf.t4096_n128.warm,1.289228,unpermute.zipf.t64_n64.warm,0.925638,fastest vLLM/naive reference per shape
