study_id,operator,case_id,measurement_level,cache_mode,candidate_variant,baseline_variant,candidate_p50_us,baseline_p50_us,p50_speedup,candidate_p95_us,baseline_p95_us,p95_speedup,candidate_cv,baseline_cv,candidate_workspace_bytes,baseline_workspace_bytes,process_direction_wins,process_direction_pairs
dense_v3_vs_library_envelope,dense_gemm,dense_gemm.fp32.m1024_n1024_k1024.candidate_v3,L2_operator_steady,warm,cuda_register_tiled_v3_64x32_async,cublaslt,181.6064,154.624003,0.851424,248.908799,215.961599,0.867633,0.111947,0.112849,0,1024,0,5
dense_v3_vs_library_envelope,dense_gemm,dense_gemm.fp32.m256_n256_k256.candidate_v3,L2_operator_steady,warm,cuda_register_tiled_v3_64x32_async,cublaslt,10.752,10.8544,1.009524,17.66912,15.51872,0.878296,0.203642,0.299867,0,0,2,5
dense_v3_vs_library_envelope,dense_gemm,dense_gemm.fp32.m512_n512_k512.candidate_v3,L2_operator_steady,warm,cuda_register_tiled_v3_64x32_async,cublas,24.8832,23.8592,0.958848,28.672001,27.238399,0.95,0.057338,0.067902,0,0,0,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e16_t128,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.2416,8.96,0.969529,11.101184,11.479552,1.034084,0.120542,0.129503,0,0,3,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e16_t2048,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.75008,9.33376,1.066706,9.852928,12.246016,1.242881,0.101992,0.141362,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e16_t32,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.57088,8.84224,1.031661,11.833856,10.803712,0.912949,0.142844,0.131846,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e16_t4096,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.8832,9.4208,1.060519,12.188672,11.481088,0.941947,0.150013,0.137429,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e16_t512,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.70912,9.3696,1.075838,11.224576,11.725312,1.044611,0.143098,0.152338,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e2_t128,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.55552,8.5504,0.999402,11.93216,12.341248,1.034285,0.147525,0.146743,0,0,2,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e2_t2048,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.11872,8.70912,0.955081,12.044288,13.093377,1.087103,0.133696,0.156291,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e2_t32,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.29952,9.30816,1.12153,10.7904,10.086401,0.934757,0.133711,0.107218,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e2_t4096,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.15968,9.11872,0.995528,12.540416,12.366848,0.986159,0.128943,0.154706,0,0,2,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e2_t512,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.5248,9.27744,1.088288,11.207168,12.135424,1.082827,0.142059,0.129496,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e32_t128,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.17504,10.38848,1.132254,10.041856,13.58336,1.352674,0.123642,0.116863,0,0,5,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e32_t2048,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.64768,11.56096,1.336886,11.702784,14.466048,1.23612,0.125851,0.157505,0,0,5,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e32_t32,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.18528,8.28416,0.901895,12.213248,11.172864,0.914815,0.12459,0.131719,0,0,1,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e32_t4096,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.2928,9.57952,1.030854,10.249728,12.829184,1.251661,0.116186,0.149372,0,0,5,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e32_t512,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.92928,9.4208,1.055046,11.868672,13.875712,1.169104,0.133633,0.178276,0,0,5,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e4_t128,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.72448,9.1392,1.047535,12.09088,10.29376,0.851366,0.149331,0.125008,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e4_t2048,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.63744,8.83712,1.023118,9.931264,11.941888,1.202454,0.1181,0.153181,0,0,3,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e4_t32,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.70912,8.91392,1.023516,12.715008,11.678208,0.918459,0.133978,0.121622,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e4_t4096,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.73984,8.97024,1.026362,9.62304,11.49184,1.194201,0.111998,0.130814,0,0,4,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e4_t512,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.79616,8.69888,0.988941,13.251584,12.700672,0.958427,0.149728,0.140297,0,0,2,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e64_t128,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.08288,11.14624,1.22717,11.273216,15.281152,1.355527,0.113572,0.151234,0,0,5,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e64_t2048,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.01632,12.31872,1.366269,10.177536,17.65632,1.734833,0.144133,0.115413,0,0,5,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e64_t32,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.69888,9.4976,1.091819,12.31616,11.895296,0.965828,0.150143,0.115365,0,0,5,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e64_t4096,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.66816,14.67904,1.693444,12.721152,19.652096,1.544836,0.150291,0.158686,0,0,5,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e64_t512,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.81152,14.26432,1.618826,11.785216,19.985409,1.695803,0.13015,0.175726,0,0,5,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e8_t128,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.89856,9.17504,1.03107,12.84608,13.579776,1.057114,0.140953,0.147413,0,0,3,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e8_t2048,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.7808,8.67328,0.987755,11.24864,11.739136,1.043605,0.135313,0.137754,0,0,2,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e8_t32,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,9.2672,9.19552,0.992265,11.7888,10.405888,0.882693,0.112072,0.122987,0,0,2,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e8_t4096,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.51456,8.48896,0.996993,9.310208,11.068416,1.188847,0.116542,0.144124,0,0,2,5
topk_v4_vs_exact_naive,topk_gate,topk_gate.v4_preflight.in_tree.e8_t512,L2_operator_steady,warm,cuda_local_pair_two_reduce_top2_v4,cuda_naive,8.70912,8.75008,1.004703,11.262976,13.244416,1.175925,0.129117,0.158895,0,0,2,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t128,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.61184,9.14944,1.062426,9.999872,11.23072,1.123086,0.095352,0.12575,0,0,4,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t2048,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.82688,9.23648,1.046404,12.154368,12.38784,1.019209,0.127904,0.148309,0,0,1,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t32,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.70912,9.18528,1.054674,9.563648,11.47648,1.200011,0.139672,0.11136,0,0,5,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t4096,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.80128,8.60672,0.977894,12.058112,11.587584,0.960978,0.12623,0.138646,0,0,1,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e16_t512,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.7808,9.14944,1.041982,13.30176,11.731456,0.881948,0.167308,0.134202,0,0,4,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t128,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.75008,8.83712,1.009947,12.288,10.87232,0.884792,0.133285,0.131752,0,0,3,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t2048,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.66304,9.22112,1.064421,11.495936,11.683841,1.016345,0.138952,0.134523,0,0,5,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t32,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.41216,9.22112,1.096166,11.278848,11.85792,1.051341,0.129163,0.126326,0,0,4,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t4096,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.6528,8.576,0.991124,10.845184,11.5456,1.064583,0.132177,0.134694,0,0,2,5
topk_v4_vs_external_envelope,topk_gate,topk_gate.v4_preflight.library.e2_t512,L1_kernel_body,warm,cuda_local_pair_two_reduce_top2_v4,vllm_row_packed_top2,8.58112,9.216,1.073986,10.870784,12.14464,1.117182,0.135364,0.115415,0,0,5,5
