case_id,baseline,envelope_winner,candidate,baseline_p50_us,candidate_p50_us,p50_speedup,baseline_p95_us,candidate_p95_us,p95_speedup,baseline_max_process_cv,candidate_max_process_cv,candidate_faster_processes,paired_processes,workspace_growth_bytes
grouped.v6.many_empty.t16_e64_k64_n64,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,9.98400002718,10.4243201017,0.957760307605271,16.9646081924,14.1004800797,1.203122737418238,0.464622926867,0.354680233985,1,5,0
grouped.v6.non_aligned.t512_e64_k127_n129,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,44.6259212494,44.3699193001,1.0057697186142824,73.4484467506,73.5047695637,0.9992337529464508,0.237690058434,0.221396862907,2,5,0
grouped.v6.single_expert.t512_e64_k128_n256,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,12.769280076,13.0355203152,0.9795757873286,15.7583358884,17.8688004613,0.8818910884661331,0.496793366473,0.446295828224,2,5,0
grouped.v6.single_hot.t512_e64_k128_n128,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,12.3801600933,12.4415999651,0.9950617386853504,17.9558394551,21.4476801157,0.8371926174876171,0.204919829287,0.384775500756,2,5,0
grouped.v6.tail.t17_e8_k13_n11,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,9.26719993353,9.5232000947,0.973118262913275,14.1557757854,14.8152316809,0.9554879795534902,0.489345699816,0.390931297934,1,5,0
grouped.v6.uniform.t2048_e64_k128_n128,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,39.7209608555,31.8259191513,1.2480695582323036,66.7781128883,53.0944011211,1.2577241946093263,0.249772363094,0.25521445916,5,5,0
grouped.v6.uniform.t512_e16_k128_n256,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,22.9990410805,24.3404793739,0.9448885836308382,33.3137910366,30.4404482841,1.0943922614306847,0.264695219222,0.2187679082,0,5,0
grouped.v6.uniform.t512_e64_k128_n128,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,21.4835190773,19.0771204233,1.1261405600323686,29.868031621,32.0378885269,0.9322721625653289,0.335664149451,0.290879344024,5,5,0
grouped.v6.zipf14.t2048_e64_k128_n128,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,39.5059204102,40.3046417236,0.9801828950899142,53.5633909702,55.420927763,0.9664831162563083,0.252275908814,0.289426178219,1,5,0
grouped.v6.zipf14.t512_e64_k128_n128,cuda_grouped_sm86_fp32_v2,,cuda_grouped_sm86_fp32_v5_balanced_direct,23.101439476,23.0809593201,1.0008873182269407,30.3124486208,32.183295846,0.9418689983104225,0.259543685232,0.234862378565,2,5,0
grouped.v6.many_empty.t16_e64_k64_n64,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,12.8409600258,10.4243201017,1.2318271024415197,18.416639626,14.1004800797,1.306100183958547,0.364417830034,0.354680233985,5,5,0
grouped.v6.non_aligned.t512_e64_k127_n129,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,37.1712005138,44.3699193001,0.8377567753141311,62.6728963852,73.5047695637,0.8526371384769394,0.244109794183,0.221396862907,0,5,0
grouped.v6.single_expert.t512_e64_k128_n256,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,23.8694393635,13.0355203152,1.8311075266912948,30.4680962563,17.8688004613,1.7051002568576095,0.255968227442,0.446295828224,5,5,0
grouped.v6.single_hot.t512_e64_k128_n128,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,24.2278409004,12.4415999651,1.9473251807132241,34.2220811844,21.4476801157,1.595607590181698,0.241538514323,0.384775500756,5,5,0
grouped.v6.tail.t17_e8_k13_n11,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,9.84063982964,9.5232000947,1.0333333051687812,13.876224041,14.8152316809,0.9366187677570658,0.34813005352,0.390931297934,4,5,0
grouped.v6.uniform.t2048_e64_k128_n128,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,23.5212802887,31.8259191513,0.7390605178401964,37.9023367167,53.0944011211,0.7138669222438485,0.288104017743,0.25521445916,0,5,0
grouped.v6.uniform.t512_e16_k128_n256,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,24.2380797863,24.3404793739,0.995793033241991,29.9048961401,30.4404482841,0.9824065618547498,0.211597845538,0.2187679082,2,5,0
grouped.v6.uniform.t512_e64_k128_n128,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,22.6303994656,19.0771204233,1.1862586681562368,33.5452163219,32.0378885269,1.047048287646497,0.356737213755,0.290879344024,5,5,0
grouped.v6.zipf14.t2048_e64_k128_n128,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,39.3318402767,40.3046417236,0.9758637862712873,61.2874248028,55.420927763,1.1058534614376587,0.268427458812,0.289426178219,1,5,0
grouped.v6.zipf14.t512_e64_k128_n128,cutlass_grouped,,cuda_grouped_sm86_fp32_v5_balanced_direct,22.8659200668,23.0809593201,0.9906832618905604,33.0455038548,32.183295846,1.0267905441669414,0.242471941827,0.234862378565,0,5,0
grouped.v6.many_empty.t16_e64_k64_n64,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,170.711040497,10.4243201017,16.376227785748867,189.66629982,14.1004800797,13.451052641325054,0.0828795320074,0.354680233985,5,5,0
grouped.v6.non_aligned.t512_e64_k127_n129,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,695.941123962,44.3699193001,15.684976104079402,739.962863922,73.5047695637,10.066868698646019,0.0371658831544,0.221396862907,5,5,0
grouped.v6.single_expert.t512_e64_k128_n256,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,10.1171201468,13.0355203152,0.7761193954799783,12.2337280512,17.8688004613,0.6846418190015405,0.375919337135,0.446295828224,1,5,0
grouped.v6.single_hot.t512_e64_k128_n128,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,22.0262408257,12.4415999651,1.7703704417025083,29.9202561378,21.4476801157,1.395034613365851,0.249221644487,0.384775500756,5,5,0
grouped.v6.tail.t17_e8_k13_n11,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,75.8374404907,9.5232000947,7.96344083255231,101.094399452,14.8152316809,6.823679955159411,0.150463021849,0.390931297934,5,5,0
grouped.v6.uniform.t2048_e64_k128_n128,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,734.791679382,31.8259191513,23.08783843410178,769.739761353,53.0944011211,14.497569331224668,0.0381690811723,0.25521445916,5,5,0
grouped.v6.uniform.t512_e16_k128_n256,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,199.249916077,24.3404793739,8.185948724192066,213.980151176,30.4404482841,7.029467804775021,0.107831165697,0.2187679082,5,5,0
grouped.v6.uniform.t512_e64_k128_n128,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,749.107170105,19.0771204233,39.26730835069174,798.706691742,32.0378885269,24.930066507703255,0.0651255024424,0.290879344024,5,5,0
grouped.v6.zipf14.t2048_e64_k128_n128,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,750.622749329,40.3046417236,18.623729606048826,796.413955688,55.420927763,14.370274692869724,0.0581476852507,0.289426178219,5,5,0
grouped.v6.zipf14.t512_e64_k128_n128,cublas_per_expert,,cuda_grouped_sm86_fp32_v5_balanced_direct,668.692474365,23.0809593201,28.97160664299905,694.237194061,32.183295846,21.571351715591472,0.0586602983001,0.234862378565,5,5,0
grouped.v6.many_empty.t16_e64_k64_n64,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v5_balanced_direct,12.8409600258,10.4243201017,1.2318271024415197,18.416639626,14.1004800797,1.306100183958547,0.364417830034,0.354680233985,5,5,0
grouped.v6.non_aligned.t512_e64_k127_n129,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v5_balanced_direct,37.1712005138,44.3699193001,0.8377567753141311,62.6728963852,73.5047695637,0.8526371384769394,0.244109794183,0.221396862907,0,5,0
grouped.v6.single_expert.t512_e64_k128_n256,fastest_library_envelope,cublas_per_expert,cuda_grouped_sm86_fp32_v5_balanced_direct,10.1171201468,13.0355203152,0.7761193954799783,12.2337280512,17.8688004613,0.6846418190015405,0.375919337135,0.446295828224,1,5,0
grouped.v6.single_hot.t512_e64_k128_n128,fastest_library_envelope,cublas_per_expert,cuda_grouped_sm86_fp32_v5_balanced_direct,22.0262408257,12.4415999651,1.7703704417025083,29.9202561378,21.4476801157,1.395034613365851,0.249221644487,0.384775500756,5,5,0
grouped.v6.tail.t17_e8_k13_n11,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v5_balanced_direct,9.84063982964,9.5232000947,1.0333333051687812,13.876224041,14.8152316809,0.9366187677570658,0.34813005352,0.390931297934,4,5,0
grouped.v6.uniform.t2048_e64_k128_n128,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v5_balanced_direct,23.5212802887,31.8259191513,0.7390605178401964,37.9023367167,53.0944011211,0.7138669222438485,0.288104017743,0.25521445916,0,5,0
