case_id,profile_set,kernel,concept,status,metric,value,unit
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,cc_major,collected,device__attribute_compute_capability_major,8,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,duration_ns,collected,gpu__time_duration.sum,41792.0,ns
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,grid_size,collected,launch__grid_size,68,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,block_size,collected,launch__block_size,256,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,1.0,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,registers_per_thread,collected,launch__registers_per_thread,144,register/thread
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,17680,byte/block
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,16.666666666666664,%
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,16.658205738164753,%
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,46.04294330186795,%
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,33.79534343510562,%
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,28.713996548977967,%
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,dram_read_bytes,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,dram_write_bytes,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,47.46303148146034,%
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,l1_hit_rate_pct,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,l2_hit_rate_pct,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,global_load_sectors,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,global_load_requests,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,global_store_sectors,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,global_store_requests,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,local_load_instructions,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,local_store_instructions,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,tensor_active_pct,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,eligible_warps_per_scheduler,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,issue_active_pct,collected,sm__issue_active.avg.pct_of_peak_sustained_elapsed,46.04294330186795,%
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,stall_long_scoreboard,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,stall_short_scoreboard,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,stall_wait,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,stall_barrier,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,stall_math_pipe,not_collected,,,
grouped.v10.cutlass.t4096_e64_k128_n64,basic,Kernel,stall_memory_throttle,not_collected,,,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,duration_ns,collected,gpu__time_duration.sum,33056.0,ns
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,grid_size,collected,launch__grid_size,1280,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,block_size,collected,launch__block_size,128,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,2.689075630252101,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,registers_per_thread,collected,launch__registers_per_thread,68,register/thread
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,7680,byte/block
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,58.333333333333336,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,basic,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,48.49651623160637,%
