case_id,profile_set,kernel,concept,status,metric,value,unit
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,duration_ns,collected,gpu__time_duration.sum,33280.0,ns
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,grid_size,collected,launch__grid_size,1280,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,block_size,collected,launch__block_size,128,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,2.689075630252101,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,registers_per_thread,collected,launch__registers_per_thread,68,register/thread
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,shared_mem_per_block,collected,launch__shared_mem_per_block,7680,byte/block
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,occupancy_theoretical_pct,collected,sm__maximum_warps_per_active_cycle_pct,58.333333333333336,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,occupancy_achieved_pct,collected,sm__warps_active.avg.pct_of_peak_sustained_active,48.441193100863146,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,sm_throughput_pct,collected,sm__throughput.avg.pct_of_peak_sustained_elapsed,61.95019039019755,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,memory_throughput_pct,collected,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,61.95019039019755,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,dram_throughput_pct,collected,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,37.63967645096731,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,dram_read_bytes,collected,dram__bytes_read.sum,6307328.0,byte
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,dram_write_bytes,collected,dram__bytes_write.sum,2936832.0,byte
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,l1_throughput_pct,collected,l1tex__throughput.avg.pct_of_peak_sustained_active,76.56096450228901,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,l1_hit_rate_pct,collected,l1tex__t_sector_hit_rate.pct,9.488371548352342,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,l2_hit_rate_pct,collected,lts__t_sector_hit_rate.pct,80.64209639257754,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,global_load_sectors,not_collected,,,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,global_load_requests,collected,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,75824.0,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,global_store_sectors,not_collected,,,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,global_store_requests,collected,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,16552.0,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,local_load_instructions,collected,smsp__sass_inst_executed_op_local_ld.sum,0.0,inst
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,local_store_instructions,collected,smsp__sass_inst_executed_op_local_st.sum,0.0,inst
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,tensor_active_pct,collected,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,0.0,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,eligible_warps_per_scheduler,not_collected,,,
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,issue_active_pct,collected,sm__issue_active.avg.pct_of_peak_sustained_elapsed,36.559342318773744,%
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,stall_long_scoreboard,collected,smsp__pcsamp_warps_issue_stalled_long_scoreboard,282,warp
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,stall_short_scoreboard,collected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,147,warp
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,stall_wait,collected,smsp__pcsamp_warps_issue_stalled_wait,136,warp
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,stall_barrier,collected,smsp__pcsamp_warps_issue_stalled_barrier,245,warp
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,stall_math_pipe,collected,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,20,warp
grouped.v10.v6_portfolio_fallback.t4096_e64_k128_n64,detailed,grouped_gemm_register16x32_sm86_v5_balanced_direct_kernel,stall_memory_throttle,collected,smsp__pcsamp_warps_issue_stalled_mio_throttle,286,warp
grouped.v10.v9_32x64.t4096_e64_k128_n64,detailed,grouped_gemm_sm86_balanced_wide_kernel,device_name,collected,device__attribute_display_name,NVIDIA GeForce RTX 3080,
grouped.v10.v9_32x64.t4096_e64_k128_n64,detailed,grouped_gemm_sm86_balanced_wide_kernel,cc_major,collected,device__attribute_compute_capability_major,8,
grouped.v10.v9_32x64.t4096_e64_k128_n64,detailed,grouped_gemm_sm86_balanced_wide_kernel,cc_minor,collected,device__attribute_compute_capability_minor,6,
grouped.v10.v9_32x64.t4096_e64_k128_n64,detailed,grouped_gemm_sm86_balanced_wide_kernel,sm_count,collected,device__attribute_multiprocessor_count,68,
grouped.v10.v9_32x64.t4096_e64_k128_n64,detailed,grouped_gemm_sm86_balanced_wide_kernel,duration_ns,collected,gpu__time_duration.sum,30368.0,ns
grouped.v10.v9_32x64.t4096_e64_k128_n64,detailed,grouped_gemm_sm86_balanced_wide_kernel,grid_size,collected,launch__grid_size,320,
grouped.v10.v9_32x64.t4096_e64_k128_n64,detailed,grouped_gemm_sm86_balanced_wide_kernel,block_size,collected,launch__block_size,256,
grouped.v10.v9_32x64.t4096_e64_k128_n64,detailed,grouped_gemm_sm86_balanced_wide_kernel,waves_per_sm,collected,launch__waves_per_multiprocessor,1.5686274509803921,
grouped.v10.v9_32x64.t4096_e64_k128_n64,detailed,grouped_gemm_sm86_balanced_wide_kernel,registers_per_thread,collected,launch__registers_per_thread,78,register/thread
