tool,case,status,summary
memcheck,v9-active-n64,pass,0 errors
memcheck,v9-active-n128,pass,0 errors
memcheck,v10-small-grid-fallback,pass,0 errors
memcheck,v10-k256-fallback,pass,0 errors
memcheck,v10-large-grid-fallback,pass,0 errors
memcheck,v10-nonaligned-fallback,pass,0 errors
initcheck,v9-active-n64,pass,0 errors
initcheck,v9-active-n128,pass,0 errors
initcheck,v10-small-grid-fallback,pass,0 errors
initcheck,v10-k256-fallback,pass,0 errors
initcheck,v10-large-grid-fallback,pass,0 errors
initcheck,v10-nonaligned-fallback,pass,0 errors
racecheck,v9-active-n64,pass,0 hazards; 0 errors; 0 warnings
racecheck,v9-active-n128,pass,0 hazards; 0 errors; 0 warnings
racecheck,v10-small-grid-fallback,pass,0 hazards; 0 errors; 0 warnings
racecheck,v10-k256-fallback,pass,0 hazards; 0 errors; 0 warnings
racecheck,v10-large-grid-fallback,pass,0 hazards; 0 errors; 0 warnings
racecheck,v10-nonaligned-fallback,pass,0 hazards; 0 errors; 0 warnings
synccheck,v9-active-n64,pass,0 errors
synccheck,v9-active-n128,pass,0 errors
synccheck,v10-small-grid-fallback,pass,0 errors
synccheck,v10-k256-fallback,pass,0 errors
synccheck,v10-large-grid-fallback,pass,0 errors
synccheck,v10-nonaligned-fallback,pass,0 errors
