case_id,baseline,envelope_winner,candidate,baseline_p50_us,candidate_p50_us,p50_speedup,baseline_p95_us,candidate_p95_us,p95_speedup,baseline_max_process_cv,candidate_max_process_cv,candidate_faster_processes,paired_processes,workspace_growth_bytes
grouped.v10.many_empty.t16_e64_k64_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,10.045440197,9.7587198019,1.0293809434967254,14.0441600084,12.3207681775,1.13987697894091,0.386636628916,0.299620054991,3,5,0
grouped.v10.nonaligned.t512_e64_k127_n129,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,50.1043200493,50.1657605171,0.9987752509447344,63.2043516636,63.3272325993,0.99805958778465,0.164446391412,0.182225753465,3,5,0
grouped.v10.single_hot.t2048_e64_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,22.487039566,22.497279644,0.999544830390072,28.9413115978,29.264895916,0.9889429192186845,0.308428471018,0.222186244745,1,5,0
grouped.v10.tail.t17_e8_k13_n11,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,8.46848011017,8.49920004606,0.9963855497313255,11.3162238598,10.9096955061,1.037263033919938,0.244613919507,0.316278293888,2,5,0
grouped.v10.uniform.t1024_e32_k128_n128,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,22.5996804237,22.2412800789,1.0161141959243618,28.7518724203,28.1057280302,1.0229897759419613,0.213072732032,0.176269769708,5,5,0
grouped.v10.uniform.t1024_e64_k128_n128,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,26.5523195267,21.596159935,1.229492632329869,39.0041595697,26.7950085402,1.4556502010881192,0.210766571588,0.288108915254,5,5,0
grouped.v10.uniform.t1024_e64_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,16.2406396866,16.4556801319,0.9869321447927799,23.6810241938,22.3170565367,1.061117721992458,0.204742823503,0.243200417389,2,5,0
grouped.v10.uniform.t2048_e32_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,21.4425599575,18.544639945,1.1562672567973655,27.9910407066,27.6756478548,1.0113960422337611,0.236140336179,0.316634301401,5,5,0
grouped.v10.uniform.t2048_e64_k128_n128,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,31.0988807678,31.1603200436,0.9980282848278185,44.3750400543,44.7150080204,0.9923970053646217,0.137578570234,0.186532923384,2,5,0
grouped.v10.uniform.t2048_e64_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,22.1286392212,23.6339199543,0.9363084610589059,29.0140162706,28.4559367895,1.0196120579416639,0.244914236043,0.20499895039,0,5,0
grouped.v10.uniform.t2048_e64_k256_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,45.383682251,46.4076805115,0.9779347243987718,60.2071037292,61.6908814907,0.9759481834973669,0.211114021211,0.230948220407,1,5,0
grouped.v10.uniform.t2048_e64_k64_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,12.7283203602,12.6976001263,1.0024193732354487,14.1680644751,16.2129917145,0.8738710735557134,0.303511689453,0.263622903105,2,5,0
grouped.v10.uniform.t4096_e64_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,31.5699195862,28.7027192116,1.099892987610778,46.148608923,42.7489284277,1.0795266833658714,0.236238254415,0.246437305232,5,5,0
grouped.v10.uniform.t512_e32_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,12.779520154,12.472319603,1.024630586833752,16.0593920946,13.8127361536,1.1626510429227634,0.3541965698,0.195649092944,2,5,0
grouped.v10.zipf14.t2048_e64_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,26.5215992928,26.5420794487,0.9992283891720095,39.7752329111,38.3989762068,1.0358409739074315,0.207075353544,0.163457299906,2,5,0
grouped.v10.many_empty.t16_e64_k64_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,9.90207999945,9.7587198019,1.014690471748363,12.6791678071,12.3207681775,1.0290890652625462,0.387775637788,0.299620054991,4,5,0
grouped.v10.nonaligned.t512_e64_k127_n129,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,50.1657605171,50.1657605171,1.0,62.7578890324,63.3272325993,0.9910094987017277,0.12538807412,0.182225753465,3,5,0
grouped.v10.single_hot.t2048_e64_k128_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,22.3846411705,22.497279644,0.9949932402813849,24.0117763281,29.264895916,0.8204975817109276,0.156643607317,0.222186244745,1,5,0
grouped.v10.tail.t17_e8_k13_n11,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,9.04192000628,8.49920004606,1.0638554166602525,10.75916785,10.9096955061,0.9862023962065821,0.2545704021,0.316278293888,4,5,0
grouped.v10.uniform.t1024_e32_k128_n128,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,22.4358391762,22.2412800789,1.0087476573564924,27.9930882454,28.1057280302,0.995992283683989,0.220293104074,0.176269769708,2,5,0
grouped.v10.uniform.t1024_e64_k128_n128,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,21.6166400909,21.596159935,1.0009483239595207,27.9736316204,26.7950085402,1.0439866655922776,0.155838381677,0.288108915254,3,5,0
grouped.v10.uniform.t1024_e64_k128_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,16.0153603554,16.4556801319,0.9732420797578325,18.5640957952,22.3170565367,0.8318344206670658,0.186176443051,0.243200417389,3,5,0
grouped.v10.uniform.t2048_e32_k128_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,18.6572802067,18.544639945,1.0060740063993732,26.8718086481,27.6756478548,0.9709549994667754,0.294953191104,0.316634301401,4,5,0
grouped.v10.uniform.t2048_e64_k128_n128,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,30.5254399776,31.1603200436,0.9796253676113832,44.469247818,44.7150080204,0.9945038542252329,0.268880041435,0.186532923384,0,5,0
grouped.v10.uniform.t2048_e64_k128_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,22.9068803787,23.6339199543,0.9692374529064222,29.4266887903,28.4559367895,1.0341142169376127,0.163673990935,0.20499895039,1,5,0
grouped.v10.uniform.t2048_e64_k256_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,39.5059204102,46.4076805115,0.8512797876293404,55.0952959061,61.6908814907,0.8930865400975946,0.217037911091,0.230948220407,0,5,0
grouped.v10.uniform.t2048_e64_k64_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,12.6464003325,12.6976001263,0.995967758214881,18.3746567965,16.2129917145,1.1333291918028137,0.306359983512,0.263622903105,4,5,0
grouped.v10.uniform.t4096_e64_k128_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,28.6719989777,28.7027192116,0.9989297099806632,42.6639351845,42.7489284277,0.9980118041240789,0.300087224582,0.246437305232,3,5,0
grouped.v10.uniform.t512_e32_k128_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,12.4825596809,12.472319603,1.0008210243343616,16.403455615,13.8127361536,1.187560193186256,0.198304100771,0.195649092944,3,5,0
grouped.v10.zipf14.t2048_e64_k128_n64,cuda_grouped_sm86_fp32_v9_balanced_32x64,,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,26.5011191368,26.5420794487,0.9984567783402515,38.9642252922,38.3989762068,1.0147204207309022,0.281652515629,0.163457299906,1,5,0
grouped.v10.many_empty.t16_e64_k64_n64,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,14.1823995113,9.7587198019,1.4533053309450201,15.1695359349,12.3207681775,1.231216732297778,0.245618725622,0.299620054991,5,5,0
grouped.v10.nonaligned.t512_e64_k127_n129,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,37.6627206802,50.1657605171,0.7507654681595411,51.4129920006,63.3272325993,0.8118622887867724,0.21007457626,0.182225753465,0,5,0
grouped.v10.single_hot.t2048_e64_k128_n64,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,24.1049599648,22.497279644,1.0714610986857145,28.5050874949,29.264895916,0.9740368657629638,0.11705898074,0.222186244745,5,5,0
grouped.v10.tail.t17_e8_k13_n11,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,9.69728022814,8.49920004606,1.1409638760809493,13.1440640688,10.9096955061,1.2048057676266661,0.504134866414,0.316278293888,3,5,0
grouped.v10.uniform.t1024_e32_k128_n128,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,23.8899195194,22.2412800789,1.074125204783696,29.7492480278,28.1057280302,1.0584763360633822,0.246756066291,0.176269769708,5,5,0
grouped.v10.uniform.t1024_e64_k128_n128,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,21.7292809486,21.596159935,1.0061641057484603,29.0007038116,26.7950085402,1.0823173938568014,0.146491931629,0.288108915254,3,5,0
grouped.v10.uniform.t1024_e64_k128_n64,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,22.9785597324,16.4556801319,1.3963907628378809,28.7774721384,22.3170565367,1.2894833192305608,0.213951550345,0.243200417389,5,5,0
grouped.v10.uniform.t2048_e32_k128_n64,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,23.6236798763,18.544639945,1.2738818303490118,32.0409606695,27.6756478548,1.1577311879961245,0.149242259473,0.316634301401,5,5,0
grouped.v10.uniform.t2048_e64_k128_n128,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,23.6134409904,31.1603200436,0.7578048286204927,24.2749439478,44.7150080204,0.5428813506356797,0.15287293896,0.186532923384,0,5,0
grouped.v10.uniform.t2048_e64_k128_n64,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,21.7907202244,23.6339199543,0.922010409891202,29.0631685257,28.4559367895,1.0213393690284012,0.253635826828,0.20499895039,0,5,0
grouped.v10.uniform.t2048_e64_k256_n64,fastest_library_envelope,cutlass_grouped,cuda_grouped_sm86_fp32_v10_wave_aware_portfolio,35.8400011063,46.4076805115,0.772285981787405,48.9205756187,61.6908814907,0.7929952439741821,0.138171815453,0.230948220407,0,5,0
