case_id,baseline,envelope_winner,candidate,baseline_p50_us,candidate_p50_us,p50_speedup,baseline_p95_us,candidate_p95_us,p95_speedup,baseline_max_process_cv,candidate_max_process_cv,candidate_faster_processes,paired_processes,workspace_growth_bytes
grouped.v10.many_empty.t16_e64_k64_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,10.045440197,9.90207999945,1.014477786238645,14.0441600084,12.6791678071,1.1076562927525606,0.386636628916,0.387775637788,2,5,0
grouped.v10.nonaligned.t512_e64_k127_n129,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,50.1043200493,50.1657605171,0.9987752509447344,63.2043516636,62.7578890324,1.0071140479401641,0.164446391412,0.12538807412,2,5,0
grouped.v10.single_hot.t2048_e64_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,22.487039566,22.3846411705,1.0045744934984684,28.9413115978,24.0117763281,1.2052965679149343,0.308428471018,0.156643607317,3,5,0
grouped.v10.tail.t17_e8_k13_n11,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,8.46848011017,9.04192000628,0.936579852983468,11.3162238598,10.75916785,1.0517750087707758,0.244613919507,0.2545704021,1,5,0
grouped.v10.uniform.t1024_e32_k128_n128,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,22.5996804237,22.4358391762,1.0073026574229416,28.7518724203,27.9930882454,1.02710612592109,0.213072732032,0.220293104074,4,5,0
grouped.v10.uniform.t1024_e64_k128_n128,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,26.5523195267,21.6166400909,1.2283277796662666,39.0041595697,27.9736316204,1.3943187677232405,0.210766571588,0.155838381677,5,5,0
grouped.v10.uniform.t1024_e64_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,16.2406396866,16.0153603554,1.014066454091621,23.6810241938,18.5640957952,1.2756357462841281,0.204742823503,0.186176443051,4,5,0
grouped.v10.uniform.t2048_e32_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,21.4425599575,18.6572802067,1.1492864833428282,27.9910407066,26.8718086481,1.0416507899842884,0.236140336179,0.294953191104,5,5,0
grouped.v10.uniform.t2048_e64_k128_n128,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,31.0988807678,30.5254399776,1.0187856683022685,44.3750400543,44.469247818,0.9978815075963154,0.137578570234,0.268880041435,5,5,0
grouped.v10.uniform.t2048_e64_k128_n64,cuda_grouped_sm86_fp32_v6_balanced_32x128,,cuda_grouped_sm86_fp32_v9_balanced_32x64,22.1286392212,22.9068803787,0.9660258776125776,29.0140162706,29.4266887903,0.9859762502454564,0.244914236043,0.163673990935,1,5,0
